Drive Name,Drive Date/Time,Drive Link
Sequoyah Electric,"03/14/2024
8:00 am - 2:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/76293
UW Health Sciences,"03/15/2024
10:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/71634
Pop-Up @ Kent Station,"03/18/2024
9:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/68613
UW Health Sciences,"03/18/2024
10:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/71635
Fircrest School - WA State of Social & Health Services Dept,"03/19/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/71791
Pop-Up @ Kent Station,"03/20/2024
9:00 am - 5:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/68614
Safeway Duvall,"03/21/2024
9:30 am - 3:30 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/77472
Pop-Up @ Burien,"03/21/2024
9:30 am - 3:30 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/71059
Pop-Up @ Amazon Seattle,"03/21/2024
10:00 am - 5:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/69095
Holy Family-Kirkland,"03/22/2024
8:00 am - 2:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/74083
Union Hill Church - Redmond,"03/22/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/69327
Elysian Brewing Company,"03/22/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/76168
Pop-Up @ Amazon Seattle,"03/22/2024
9:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/69096
Walgreens Woodinville,"03/23/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/76088
Cornerstone Christian Fellowship,"03/25/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/76089
Woodinville Unitarian Universalist Church,"03/25/2024
9:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/68152
UW Health Sciences,"03/25/2024
10:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/71636
Pop-Up @ Kent Station,"03/26/2024
9:00 am - 5:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/68615
Woodinville Unitarian Universalist Church,"03/26/2024
9:00 am - 5:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/68153
Providence Swedish Ballard,"03/26/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/76080
Fred Meyer Covington,"03/27/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/75697
Woodinville Unitarian Universalist Church,"03/27/2024
9:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/68154
Northshore YMCA,"03/27/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/77671
Pop-Up @ Kent Station,"03/28/2024
9:00 am - 5:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/68616
901 Fifth Avenue Building,"03/28/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/70436
400 Fairview Ave Building,"03/28/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/70463
Seattle Public Schools John Stanford Center for Educational Excellence,"03/29/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/76169
Monolith Productions,"03/29/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/76069
UW HUB,"03/29/2024
10:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/71659
Mana America Telugu Association Seattle,"03/30/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/73605
Pop-Up @ Kent Station,"04/01/2024
9:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/68617
