AOs,Drive Name,Drive Date/Time,Drive Link
"Timber, Tundra, Tundra Speed",Thermo Fisher Scientific,04/04/2024 9:00 am - 3:00 pm,https://donate.bloodworksnw.org/donor/schedules/drive_schedule/72426
"Timber, Tundra, Tundra Speed",EvergreenHealth Kirkland,04/11/2024 12:00 pm - 6:00 pm,https://donate.bloodworksnw.org/donor/schedules/drive_schedule/70535
"Timber, Tundra, Tundra Speed",Echo Lake Community,04/15/2024 10:00 am - 4:00 pm,https://donate.bloodworksnw.org/donor/schedules/drive_schedule/77618
"Timber, Tundra, Tundra Speed","Genie, A Terex Brand",04/17/2024 8:00 am - 2:00 pm,https://donate.bloodworksnw.org/donor/schedules/drive_schedule/77861
"Timber, Tundra, Tundra Speed",Church of the Holy Cross,04/19/2024 9:00 am - 3:00 pm,https://donate.bloodworksnw.org/donor/schedules/drive_schedule/68804
"Timber, Tundra, Tundra Speed",Orangetheory Fitness Bothell,04/22/2024 9:00 am - 3:00 pm,https://donate.bloodworksnw.org/donor/schedules/drive_schedule/78254
"Timber, Tundra, Tundra Speed",UW Bothell/Cascadia College,04/25/2024 10:00 am - 4:00 pm,https://donate.bloodworksnw.org/donor/schedules/drive_schedule/77555
"Timber, Tundra, Tundra Speed",City of Bothell,04/29/2024 9:00 am - 4:00 pm,https://donate.bloodworksnw.org/donor/schedules/drive_schedule/69485
"Timber, Tundra, Tundra Speed",City of Bothell,04/30/2024 8:30 am - 2:30 pm,https://donate.bloodworksnw.org/donor/schedules/drive_schedule/69486
"Timber, Tundra, Tundra Speed",Northshore School District,05/01/2024 9:00 am - 3:00 pm,https://donate.bloodworksnw.org/donor/schedules/drive_schedule/74095
"Timber, Tundra, Tundra Speed",LyFE Manufacturing/Lyell,05/02/2024 9:00 am - 3:00 pm,https://donate.bloodworksnw.org/donor/schedules/drive_schedule/77735
