Date,Issue Key,Epic,Parent Link,Summary,Status,Story Points
5/11/2026,SPLASH-19174,SPLASH-13680,D2C April '26 Update,D2C- 5/4 DST Playoffs/Art of Hoops,Done,1
5/11/2026,SPLASH-19173,SPLASH-13680,D2C April '26 Update,D2C - Implementation - In the Moment: Chet Holmgren,Done,1
5/11/2026,SPLASH-19172,SPLASH-13680,D2C April '26 Update,D2C - Implementation - 1 Frenzy Token Playoffs Bundle,Done,1
5/11/2026,SPLASH-19171,SPLASH-13680,D2C April '26 Update,D2C - Implementation - In the Moment: Rudy Gobert,Done,1
5/11/2026,SPLASH-19388,SPLASH-13681,D2C May '26 Update,D2C - In the Moment - Karl-Anthony Towns - Implementation,Selected for Development,1
5/11/2026,SPLASH-19387,SPLASH-13681,D2C May '26 Update,D2C - In the Moment Austin Reaves Implementation,Selected for Development,1
5/11/2026,SPLASH-19386,SPLASH-13681,D2C May '26 Update,D2C - Lunar Rose Updates - Implemenation,Selected for Development,2
5/11/2026,SPLASH-19385,SPLASH-13681,D2C May '26 Update,D2C - Run the Court (Lunar Rose) - Implementation,Selected for Development,1
5/11/2026,SPLASH-19384,SPLASH-13681,D2C May '26 Update,D2C - Top Tier updates for Specialists - Implementation,Selected for Development,1
5/11/2026,SPLASH-19270,SPLASH-13681,D2C May '26 Update,D2C - Specialists - Elite Specialists Bundle Implementation,Selected for Development,1
5/11/2026,SPLASH-19268,SPLASH-13681,D2C May '26 Update,D2C - Specialists - Elite Specialists Implementation,Selected for Development,1
5/11/2026,SPLASH-19266,SPLASH-13681,D2C May '26 Update,D2C - Specialists - Full Spec Week Implementation,Selected for Development,2
5/11/2026,SPLASH-19264,SPLASH-13681,D2C May '26 Update,D2C - Specialists - Full Spec Week Implementation,Selected for Development,1
5/11/2026,SPLASH-19247,SPLASH-13681,D2C May '26 Update,D2C Design - Segmented offers,Selected for Development,3
5/11/2026,SPLASH-19242,SPLASH-13681,D2C May '26 Update,D2C- 5/11 DST Art of Hoops - implementation,Done,2
5/11/2026,SPLASH-19240,SPLASH-13681,D2C May '26 Update,D2C- 5/11 DST Art of Hoops,Done,1
5/11/2026,SPLASH-19377,SPLASH-19373,Live Ops for May 2026,Game Design - 3v3 Fantasy Finals,Selected for Development,5
5/11/2026,SPLASH-19376,SPLASH-19373,Live Ops for May 2026,Live Ops Design - 3v3 Fantasy Finals,Selected for Development,5
5/11/2026,SPLASH-19375,SPLASH-19373,Live Ops for May 2026,Game Design - Megastar Spinner,Selected for Development,2
5/11/2026,SPLASH-19374,SPLASH-19373,Live Ops for May 2026,Live Ops Design - Megastar Spinner,Selected for Development,5
5/11/2026,SPLASH-19249,SPLASH-19022,Live Ops for S8 U3,Implementation - Dunkers/Dunkmasters IAP/Coins,Done,2
5/11/2026,SPLASH-19248,SPLASH-19022,Live Ops for S8 U3,Live Ops Design - Dunks (Slam Masters) IAP/Coins,Done,2
5/11/2026,SPLASH-19191,SPLASH-19022,Live Ops for S8 U3,Implementation - Playoffs Frenzy Week 2 additional tunings,Done,1
5/11/2026,SPLASH-19185,SPLASH-19022,Live Ops for S8 U3,Design - Playoffs Frenzy Week 2 additional tunings,Done,2
5/11/2026,SPLASH-19097,SPLASH-19022,Live Ops for S8 U3,Implementation - Playoffs Frenzy Week 3,Done,3
5/11/2026,SPLASH-19096,SPLASH-19022,Live Ops for S8 U3,Live Ops Design - Playoffs Frenzy Week 3 Opponents,Done,2
5/11/2026,SPLASH-19095,SPLASH-19022,Live Ops for S8 U3,Design - Playoffs Frenzy Week 3,Done,3
5/11/2026,SPLASH-19038,SPLASH-19022,Live Ops for S8 U3,Implementation - Archive Packs & misc,Done,2
5/11/2026,SPLASH-19037,SPLASH-19022,Live Ops for S8 U3,Live Ops Design - New Coin offers to drive coin sink,Done,2
5/11/2026,SPLASH-19024,SPLASH-19022,Live Ops for S8 U3,Design - Playoffs Frenzy Week 2 ,Done,2
5/11/2026,SPLASH-19021,SPLASH-19022,Live Ops for S8 U3,Implementation - Playoffs Frenzy Week 2,Done,2
5/11/2026,SPLASH-19353,SPLASH-18568,S8 Foundation - Lunar Rose,Implementation - Tourneys - Lunar Rose,Selected for Development,2
5/11/2026,SPLASH-18580,SPLASH-18568,S8 Foundation - Lunar Rose,Design - New User Conversion Offers -  - Lunar Rose,Done,3
5/11/2026,SPLASH-18579,SPLASH-18568,S8 Foundation - Lunar Rose,Card Creation & Data -  - Lunar Rose ,Done,3
5/11/2026,SPLASH-18578,SPLASH-18568,S8 Foundation - Lunar Rose,Design - Lunar Rose Foundation Rotating packs,In Progress,5
5/11/2026,SPLASH-18577,SPLASH-18568,S8 Foundation - Lunar Rose,Design - Tourneys -  - Lunar Rose Foundation (T42),Done,3
5/11/2026,SPLASH-18576,SPLASH-18568,S8 Foundation - Lunar Rose,Core Implementation - Lunar Rose (T42) Foundation,Selected for Development,5
5/11/2026,SPLASH-18575,SPLASH-18568,S8 Foundation - Lunar Rose,Final Pips -  - Lunar Rose Foundation (T42),Done,3
5/11/2026,SPLASH-18574,SPLASH-18568,S8 Foundation - Lunar Rose,Final PWR - Lunar Rose (T42) Foundation,Done,2
5/11/2026,SPLASH-18573,SPLASH-18568,S8 Foundation - Lunar Rose,Roster Draft & Distributions - Lunar Rose (T42) Foundation,Done,5
5/11/2026,SPLASH-18572,SPLASH-18568,S8 Foundation - Lunar Rose,New User Conversion Offers - Lunar Rose Implementation,In Progress,3
5/11/2026,SPLASH-18571,SPLASH-18568,S8 Foundation - Lunar Rose,S8 Getty Images -  - Lunar Rose Foundation (T42),Done,5
5/11/2026,SPLASH-18570,SPLASH-18568,S8 Foundation - Lunar Rose,S8 Tier Art -  - Lunar Rose Foundation,Done,1
5/11/2026,SPLASH-19076,SPLASH-10532,S8 Theme - 165 Courtside Pass,Implementation - 165 Courtside Pass May '26,Done,2
5/11/2026,SPLASH-19075,SPLASH-10532,S8 Theme - 165 Courtside Pass,Card Creation - 165 Courtside Pass May '26,Done,1
5/11/2026,SPLASH-14365,SPLASH-10532,S8 Theme - 165 Courtside Pass,S8 Getty Images - 165 Courtside Pass - May ' 26,Done,1
5/11/2026,SPLASH-14355,SPLASH-10532,S8 Theme - 165 Courtside Pass,S8 Design - 165 Courtside Pass - July '26,Backlog,1
5/11/2026,SPLASH-14354,SPLASH-10532,S8 Theme - 165 Courtside Pass,S8 Design - 165 Courtside Pass - June '26,Backlog,1
5/11/2026,SPLASH-14353,SPLASH-10532,S8 Theme - 165 Courtside Pass,S8 Design - 165 Courtside Pass - May '26,Done,1
5/11/2026,SPLASH-19083,SPLASH-13161,S8 Theme - 185 Anime,S8 Card Art - Concept - 185 Anime,In Progress,8
5/11/2026,SPLASH-16102,SPLASH-13161,S8 Theme - 185 Anime,S8 Card Art - Concept - 185 Anime,In Progress,5
5/11/2026,SPLASH-19352,SPLASH-13165,S8 Theme - 189 PlayOffs Moments,Card Creation - Playoff Moments Week 4,Selected for Development,5
5/11/2026,SPLASH-19082,SPLASH-13165,S8 Theme - 189 PlayOffs Moments,Card Creation - Playoff Moments Week 3,Done,3
5/11/2026,SPLASH-19081,SPLASH-13165,S8 Theme - 189 PlayOffs Moments,Card Creation - Playoff Moments Week 2,Done,3
5/11/2026,SPLASH-19080,SPLASH-13165,S8 Theme - 189 PlayOffs Moments,Card Creation - Playoff Moments Week 1,Done,1
5/11/2026,SPLASH-19140,SPLASH-13166,S8 Theme - 190 Specialists,Specialist Theme DLC implementation,Done,2
5/11/2026,SPLASH-19139,SPLASH-13166,S8 Theme - 190 Specialists,Specialist Theme Rewind Leaderboard implementation,Selected for Development,1
5/11/2026,SPLASH-19138,SPLASH-13166,S8 Theme - 190 Specialists,Specialist Theme Top Up implementation,Selected for Development,2
5/11/2026,SPLASH-19137,SPLASH-13166,S8 Theme - 190 Specialists,Specialist Theme Collectible Insert implementation,Selected for Development,2
5/11/2026,SPLASH-19136,SPLASH-13166,S8 Theme - 190 Specialists,Specialist Theme LTE Pack implementation,Done,1
5/11/2026,SPLASH-19135,SPLASH-13166,S8 Theme - 190 Specialists,Specialist Theme Set implementation,Done,1
5/11/2026,SPLASH-19134,SPLASH-13166,S8 Theme - 190 Specialists,Specialist Theme Crafting Recipes implementation,Done,1
5/11/2026,SPLASH-19133,SPLASH-13166,S8 Theme - 190 Specialists,Specialist Theme Free Agents implementation,Done,1
5/11/2026,SPLASH-19132,SPLASH-13166,S8 Theme - 190 Specialists,Specialist Theme Position Pack implementation,Done,1
5/11/2026,SPLASH-19131,SPLASH-13166,S8 Theme - 190 Specialists,Specialist Theme Steal of a Deal! Pack implementation,Done,1
5/11/2026,SPLASH-19130,SPLASH-13166,S8 Theme - 190 Specialists,Specialist Theme King of the Court implementation,Done,2
5/11/2026,SPLASH-19129,SPLASH-13166,S8 Theme - 190 Specialists,Specialist Theme Mini-3v3 Gauntlet implementation,Done,2
5/11/2026,SPLASH-19128,SPLASH-13166,S8 Theme - 190 Specialists,Specialist Theme Hot Spots implementation,Done,2
5/11/2026,SPLASH-19127,SPLASH-13166,S8 Theme - 190 Specialists,Specialist Mini-PWR Cap implementation,Done,2
5/11/2026,SPLASH-19126,SPLASH-13166,S8 Theme - 190 Specialists,Specialist Bullet Pack 1 implementation,Selected for Development,2
5/11/2026,SPLASH-19125,SPLASH-13166,S8 Theme - 190 Specialists,Specialist Prime Packs implementation,Done,2
5/11/2026,SPLASH-19124,SPLASH-13166,S8 Theme - 190 Specialists,Winning Formula 3 implementation,Done,2
5/11/2026,SPLASH-19123,SPLASH-13166,S8 Theme - 190 Specialists,Winning Formula 2 implementation,Done,2
5/11/2026,SPLASH-19121,SPLASH-13166,S8 Theme - 190 Specialists,Winning Formula 1 implementation,Done,2
5/11/2026,SPLASH-19120,SPLASH-13166,S8 Theme - 190 Specialists,Tactical Unit 3 implementation,Done,2
5/11/2026,SPLASH-19118,SPLASH-13166,S8 Theme - 190 Specialists,Tactical Unit 2 implementation,Done,2
5/11/2026,SPLASH-19117,SPLASH-13166,S8 Theme - 190 Specialists,Tactical Unit 1 implementation,Done,2
5/11/2026,SPLASH-19116,SPLASH-13166,S8 Theme - 190 Specialists,Specialist Theme Pack 3 implementation,Done,1
5/11/2026,SPLASH-19115,SPLASH-13166,S8 Theme - 190 Specialists,Specialist Theme Pack 2 implementation,Done,1
5/11/2026,SPLASH-19114,SPLASH-13166,S8 Theme - 190 Specialists,Specialist Theme Pack 1 implementation,Done,1
5/11/2026,SPLASH-19113,SPLASH-13166,S8 Theme - 190 Specialists,Specialist Theme pack Game Plan 3 implementation,Done,1
5/11/2026,SPLASH-19112,SPLASH-13166,S8 Theme - 190 Specialists,Specialist Theme pack Game Plan 2 implementation,Done,1
5/11/2026,SPLASH-19111,SPLASH-13166,S8 Theme - 190 Specialists,Specialist Theme pack Game Plan 1 implementation,Done,1
5/11/2026,SPLASH-19110,SPLASH-13166,S8 Theme - 190 Specialists,Specialist Theme Strings implementation,Done,2
5/11/2026,SPLASH-18608,SPLASH-13166,S8 Theme - 190 Specialists,Final Attributes - 190 Specialists ,Ready for Review,2
5/11/2026,SPLASH-18606,SPLASH-13166,S8 Theme - 190 Specialists,Final PWR - 190 Specialists,Done,1
5/11/2026,SPLASH-18605,SPLASH-13166,S8 Theme - 190 Specialists,Card Creation & Data - 190 Specialists,Done,3
5/11/2026,SPLASH-18604,SPLASH-13166,S8 Theme - 190 Specialists,Final Roster review - 190 Specialists,Done,5
5/11/2026,SPLASH-18600,SPLASH-13166,S8 Theme - 190 Specialists,S8 Getty Images - 190 Specialists ,Done,3
5/11/2026,SPLASH-19383,SPLASH-13167,S8 Theme - 191 Finals,Implementation - DLC Management - 191 Finals,Backlog,2
5/11/2026,SPLASH-19382,SPLASH-13167,S8 Theme - 191 Finals,Implementation - Rewind Leaderboard - 191 Finals,Backlog,2
5/11/2026,SPLASH-19381,SPLASH-13167,S8 Theme - 191 Finals,Implementation - Top Up - 191 Finals,Selected for Development,2
5/11/2026,SPLASH-19380,SPLASH-13167,S8 Theme - 191 Finals,Implementation - Crafting & Sets - 191 Finals,Backlog,1
5/11/2026,SPLASH-19379,SPLASH-13167,S8 Theme - 191 Finals,Implementation - Mini Hotspots & Domination - 191 Finals,Backlog,2
5/11/2026,SPLASH-19378,SPLASH-13167,S8 Theme - 191 Finals,Implementation - Mini PWR Cap & 3v3 Fantasy Finals - 191 Finals,Selected for Development,3
5/11/2026,SPLASH-19371,SPLASH-13167,S8 Theme - 191 Finals,Implementation - Superstar Spinner - 191 Finals,Selected for Development,1
5/11/2026,SPLASH-19370,SPLASH-13167,S8 Theme - 191 Finals,Implementation -Megastar Spinner - 191 Finals,Selected for Development,5
5/11/2026,SPLASH-19369,SPLASH-13167,S8 Theme - 191 Finals,Implementation Prime Packs - 191 Finals,Backlog,2
5/11/2026,SPLASH-19368,SPLASH-13167,S8 Theme - 191 Finals,Implementation Theme Offer 4 + Backups - 191 Finals,Backlog,2
5/11/2026,SPLASH-19367,SPLASH-13167,S8 Theme - 191 Finals,Implementation Theme Offer 3 + Backups - 191 Finals,Backlog,2
5/11/2026,SPLASH-19366,SPLASH-13167,S8 Theme - 191 Finals,Implementation Theme Offer 2 + Backups - 191 Finals,Backlog,2
5/11/2026,SPLASH-19365,SPLASH-13167,S8 Theme - 191 Finals,Implementation Theme Offer 1 + Backups - 191 Finals,Backlog,2
5/11/2026,SPLASH-19364,SPLASH-13167,S8 Theme - 191 Finals,String Implementation- 191 Finals,Selected for Development,2
5/11/2026,SPLASH-19363,SPLASH-13167,S8 Theme - 191 Finals,"PWR, Attributes & Polish Review- 191 Finals",Backlog,2
5/11/2026,SPLASH-19362,SPLASH-13167,S8 Theme - 191 Finals,Final Roster Design Review- 191 Finals,Selected for Development,5
5/11/2026,SPLASH-19361,SPLASH-13167,S8 Theme - 191 Finals,Final Theme Spec Review- 191 Finals,Backlog,2
5/11/2026,SPLASH-19359,SPLASH-13167,S8 Theme - 191 Finals,"PWR, Attributes & Polish- 191 Finals",Backlog,3
5/11/2026,SPLASH-19357,SPLASH-13167,S8 Theme - 191 Finals,Card Creation & Data- 191 Finals,Selected for Development,3
5/11/2026,SPLASH-19356,SPLASH-13167,S8 Theme - 191 Finals,Roster Draft/Theme Spec - 191 Finals,Selected for Development,8
5/11/2026,SPLASH-19354,SPLASH-13167,S8 Theme - 191 Finals,S8 Getty Images - 191 Finals,Backlog,0
5/11/2026,SPLASH-18019,SPLASH-13167,S8 Theme - 191 Finals,S8 Card Art - Finals Card Back,Done,3
5/11/2026,SPLASH-13220,SPLASH-13167,S8 Theme - 191 Finals,S8 Card FX - 191 Finals,In Progress,8
5/11/2026,SPLASH-13218,SPLASH-13167,S8 Theme - 191 Finals,"S8 Card Art - Concept - 191 Finals, 192 Finals Winners & 193 Finals MVP",Done,8
5/11/2026,SPLASH-13223,SPLASH-13168,S8 Theme - 192 Finals Winners,S8 Card FX - 187 Finals Winners,Selected for Development,8
5/11/2026,SPLASH-19230,SPLASH-13169,S8 Theme - 193 Finals MVP,S8 Card FX - Finals Card Back ,Done,0
5/11/2026,SPLASH-13226,SPLASH-13169,S8 Theme - 193 Finals MVP,S8 Card FX - 193 Finals MVP,Ready for Review,5
5/11/2026,SPLASH-18515,SPLASH-13172,S8 Theme - 196 Showstoppers,S8 Getty Images - 196 Showstoppers,Backlog,3
5/11/2026,SPLASH-18327,SPLASH-13172,S8 Theme - 196 Showstoppers,S8 Card Art - Polish - 196 Showstoppers,Done,5
5/11/2026,SPLASH-13235,SPLASH-13172,S8 Theme - 196 Showstoppers,S8 Card FX - 196 Showstoppers,Done,8
5/11/2026,SPLASH-13234,SPLASH-13172,S8 Theme - 196 Showstoppers,S8 Live Ops Art - 196 Showstoppers,Done,3
5/11/2026,SPLASH-13233,SPLASH-13172,S8 Theme - 196 Showstoppers,S8 Card Art - Concept - 196 Showstoppers,Done,5
