SHORT NAME,GAMEID,AWAY,HOME,,,
Patriots,NENYJ,NE,NYJ,4733245,,"4733245,"
Bears,CHIIND,CHI,IND,4733246,,"4733246, 4733245,"
Giants,NYGCLE,NYG,CLE,4733247,,"4733247, 4733246, 4733245,"
Packers,GBTEN,GB,TEN,4733248,,"4733248, 4733247, 4733246, 4733245,"
Eagles,PHINO,PHI,NO,4733249,,"4733249, 4733248, 4733247, 4733246, 4733245,"
Chargers,LACPIT,LAC,PIT,4733250,,"4733250, 4733249, 4733248, 4733247, 4733246, 4733245,"
Texans,HOUMIN,HOU,MIN,4733251,,"4733251, 4733250, 4733249, 4733248, 4733247, 4733246, 4733245,"
Broncos,DENTB,DEN,TB,4733252,,"4733252, 4733251, 4733250, 4733249, 4733248, 4733247, 4733246, 4733245,"
Panthers,CARLV,CAR,LV,4733253,,"4733253, 4733252, 4733251, 4733250, 4733249, 4733248, 4733247, 4733246, 4733245,"
Dolphins,MIASEA,MIA,SEA,4733254,,"4733254, 4733253, 4733252, 4733251, 4733250, 4733249, 4733248, 4733247, 4733246, 4733245,"
Lions,DETARI,DET,ARI,4733255,,"4733255, 4733254, 4733253, 4733252, 4733251, 4733250, 4733249, 4733248, 4733247, 4733246, 4733245,"
49ers,SFLAR,SF,LAR,4733256,,"4733256, 4733255, 4733254, 4733253, 4733252, 4733251, 4733250, 4733249, 4733248, 4733247, 4733246, 4733245,"
Ravens,BALDAL,BAL,DAL,4733257,,"4733257, 4733256, 4733255, 4733254, 4733253, 4733252, 4733251, 4733250, 4733249, 4733248, 4733247, 4733246, 4733245,"
Chiefs,KCATL,KC,ATL,4733258,,"4733258, 4733257, 4733256, 4733255, 4733254, 4733253, 4733252, 4733251, 4733250, 4733249, 4733248, 4733247, 4733246, 4733245,"
Jaguars,JACBUF,JAC,BUF,4733259,,"4733259, 4733258, 4733257, 4733256, 4733255, 4733254, 4733253, 4733252, 4733251, 4733250, 4733249, 4733248, 4733247, 4733246, 4733245,"
Commanders,WASCIN,WAS,CIN,4733260,,"4733260, 4733259, 4733258, 4733257, 4733256, 4733255, 4733254, 4733253, 4733252, 4733251, 4733250, 4733249, 4733248, 4733247, 4733246, 4733245,"
