Source,Winner,Winner Score,Loser,Loser Score
ESPN,,,,
"The race for No. 1 draft pick: Five teams in the mix, plus their top needs and whatESPN",Five,teams in the mix,plus their top needs and what's,next
"NFL Nation, +4 MorESPN",L,Nation,+4,More
MaldonadoESPN,Dolphins,20,Commanders,12
MoodyESPN,Dolphins,32,Commanders,20
WalderESPN,Commanders,27,Dolphins,21
MaldonadoESPN,Bills,27,Buccaneers,20
MoodyESPN,Bills,27,Buccaneers,24
WalderESPN,Bills,27,Buccaneers,17
MaldonadoESPN,Chargers,29,Jaguars,16
MoodyESPN,Chargers,20,Jaguars,16
WalderESPN,Chargers,25,Jaguars,22
MaldonadoESPN,Packers,24,Giants,10
MoodyESPN,Packers,26,Giants,23
WalderESPN,Packers,31,Giants,14
MaldonadoESPN,Steelers,34,Bengals,28
MoodyESPN,Bengals,27,Steelers,21
WalderESPN,Bengals,30,Steelers,23
MaldonadoESPN,Vikings,24,Bears,14
MoodyESPN,Vikings,26,Bears,24
WalderESPN,Bears,23,Vikings,17
MaldonadoESPN,Texans,23,Titans,16
MoodyESPN,Texans,30,Titans,13
WalderESPN,Texans,23,Titans,13
MaldonadoESPN,Falcons,28,Panthers,21
MoodyESPN,Falcons,23,Panthers,20
WalderESPN,Falcons,19,Panthers,16
MaldonadoESPN,Seahawks,28,Rams,23
MoodyESPN,Rams,27,Seahawks,24
WalderESPN,Rams,26,Seahawks,20
MaldonadoESPN,49ers,23,Cardinals,20
MoodyESPN,49ers,31,Cardinals,20
WalderESPN,49ers,23,Cardinals,16
MaldonadoESPN,Chiefs,27,Broncos,22
MoodyESPN,Chiefs,27,Broncos,20
WalderESPN,Chiefs,30,Broncos,10
MaldonadoESPN,Ravens,24,Browns,9
MoodyESPN,Ravens,38,Browns,20
WalderESPN,Ravens,27,Browns,13
MaldonadoESPN,Eagles,21,Lions,20
MoodyESPN,Eagles,30,Lions,24
WalderESPN,Lions,24,Eagles,20
MaldonadoESPN,Cowboys,26,Raiders,23
MoodyESPN,Cowboys,34,Raiders,23
WalderESPN,Cowboys,28,Raiders,14
