Source,Winner,Winner Score,Loser,Loser Score
KahlerESPN,Vikings,28,Bears,25
MoodyESPN,Vikings,23,Bears,14
WalderESPN,Vikings,24,Bears,16
KahlerESPN,Lions,40,Colts,24
MoodyESPN,Lions,37,Colts,20
WalderESPN,Lions,30,Colts,21
KahlerESPN,Patriots,22,Dolphins,20
MoodyESPN,Dolphins,28,Patriots,21
WalderESPN,Dolphins,24,Patriots,20
KahlerESPN,Buccaneers,28,Giants,14
MoodyESPN,Buccaneers,27,Giants,17
WalderESPN,Buccaneers,26,Giants,10
KahlerESPN,Commanders,40,Cowboys,17
MoodyESPN,Commanders,34,Cowboys,16
WalderESPN,Commanders,37,Cowboys,13
KahlerESPN,Chiefs,34,Panthers,17
MoodyESPN,Chiefs,31,Panthers,16
WalderESPN,Chiefs,27,Panthers,13
KahlerESPN,Texans,28,Titans,14
MoodyESPN,Texans,23,Titans,16
WalderESPN,Texans,27,Titans,16
KahlerESPN,Broncos,28,Raiders,20
MoodyESPN,Broncos,24,Raiders,10
WalderESPN,Broncos,20,Raiders,13
KahlerESPN,49ers,28,Packers,26
MoodyESPN,49ers,27,Packers,24
WalderESPN,Packers,24,49ers,23
KahlerESPN,Cardinals,30,Seahawks,27
MoodyESPN,Cardinals,28,Seahawks,24
WalderESPN,Cardinals,29,Seahawks,26
KahlerESPN,Eagles,28,Rams,23
MoodyESPN,Eagles,31,Rams,19
WalderESPN,Eagles,27,Rams,20
KahlerESPN,Chargers,28,Ravens,25
MoodyESPN,Chargers,23,Ravens,20
WalderESPN,Ravens,24,Chargers,17
