SHORT NAME,GAMEID,AWAY,HOME
49ers,NYJSF,NYJ,SF
Bears,TENCHI,TEN,CHI
Bengals,NECIN,NE,CIN
Bills,ARIBUF,ARI,BUF
Broncos,DENSEA,DEN,SEA
Browns,DALCLE,DAL,CLE
Buccaneers,WASTB,WAS,TB
Bucs,WASTB,WAS,TB
Cardinals,ARIBUF,ARI,BUF
Chargers,LVLAC,LV,LAC
Chiefs,BALKC,BAL,KC
Colts,HOUIND,HOU,IND
Commanders,WASTB,WAS,TB
Cowboys,DALCLE,DAL,CLE
Dolphins,JACMIA,JAC,MIA
Eagles,GBPHI,GB,PHI
Falcons,PITATL,PIT,ATL
Giants,MINNYG,MIN,NYG
Jaguars,JACMIA,JAC,MIA
Jets,NYJSF,NYJ,SF
Lions,LARDET,LAR,DET
Packers,GBPHI,GB,PHI
Panthers,CARNO,CAR,NO
Patriots,NECIN,NE,CIN
Pats,NECIN,NE,CIN
Raiders,LVLAC,LV,LAC
Rams,LARDET,LAR,DET
Ravens,BALKC,BAL,KC
Saints,CARNO,CAR,NO
Seahawks,DENSEA,DEN,SEA
Steelers,PITATL,PIT,ATL
Texans,HOUIND,HOU,IND
Titans,TENCHI,TEN,CHI
Vikings,MINNYG,MIN,NYG
