Source,Winner,Winner Score,Loser,Loser Score,GameID,Away Code,Away Short Name,Away Full Name,Home Code,Home Short Name,Home Full Name,AwayScore,HomeScore
TerrySullivan,Bills,30,Broncos,20,DENBUF,DEN,Broncos,Denver Broncos,BUF,Bills,Buffalo Bills,20,30
PetePrisco,Bills,23,Broncos,16,DENBUF,DEN,Broncos,Denver Broncos,BUF,Bills,Buffalo Bills,16,23
BleacherReport,Bills,30,Broncos,20,DENBUF,DEN,Broncos,Denver Broncos,BUF,Bills,Buffalo Bills,20,30
BillBender,Bills,31,Broncos,21,DENBUF,DEN,Broncos,Denver Broncos,BUF,Bills,Buffalo Bills,21,31
MarcusMosher,Bills,28,Broncos,24,DENBUF,DEN,Broncos,Denver Broncos,BUF,Bills,Buffalo Bills,24,28
Sportsnaut,Bills,31,Broncos,21,DENBUF,DEN,Broncos,Denver Broncos,BUF,Bills,Buffalo Bills,21,31
VinnieIyer,Bills,34,Broncos,17,DENBUF,DEN,Broncos,Denver Broncos,BUF,Bills,Buffalo Bills,17,34
KahlerESPN,Bills,28,Broncos,21,DENBUF,DEN,Broncos,Denver Broncos,BUF,Bills,Buffalo Bills,21,28
WalderESPN,Bills,28,Broncos,17,DENBUF,DEN,Broncos,Denver Broncos,BUF,Bills,Buffalo Bills,17,28
Dimers,BILLS,27,BRONCOS,20,DENBUF,DEN,Broncos,Denver Broncos,BUF,Bills,Buffalo Bills,20,27
JarrettBell,Bills,21,Broncos,17,DENBUF,DEN,Broncos,Denver Broncos,BUF,Bills,Buffalo Bills,17,21
ChrisBumbaca,Bills,31,Broncos,20,DENBUF,DEN,Broncos,Denver Broncos,BUF,Bills,Buffalo Bills,20,31
NateDavis,Bills,27,Broncos,14,DENBUF,DEN,Broncos,Denver Broncos,BUF,Bills,Buffalo Bills,14,27
TylerDragon,Bills,28,Broncos,20,DENBUF,DEN,Broncos,Denver Broncos,BUF,Bills,Buffalo Bills,20,28
MikeMiddlehurst-Schwartz,Bills,28,Broncos,16,DENBUF,DEN,Broncos,Denver Broncos,BUF,Bills,Buffalo Bills,16,28
LorenzoReyes,Bills,34,Broncos,20,DENBUF,DEN,Broncos,Denver Broncos,BUF,Bills,Buffalo Bills,20,34
AliNFL,Bills,28,Broncos,20,DENBUF,DEN,Broncos,Denver Broncos,BUF,Bills,Buffalo Bills,20,28
BrookeNFL,Bills,30,Broncos,22,DENBUF,DEN,Broncos,Denver Broncos,BUF,Bills,Buffalo Bills,22,30
DanNFL,Bills,27,Broncos,20,DENBUF,DEN,Broncos,Denver Broncos,BUF,Bills,Buffalo Bills,20,27
GennaroNFL,Bills,23,Broncos,17,DENBUF,DEN,Broncos,Denver Broncos,BUF,Bills,Buffalo Bills,17,23
TomNFL,Bills,27,Broncos,20,DENBUF,DEN,Broncos,Denver Broncos,BUF,Bills,Buffalo Bills,20,27
MoodyESPN,Broncos,27,Bills,24,DENBUF,DEN,Broncos,Denver Broncos,BUF,Bills,Buffalo Bills,27,24
TerrySullivan,Eagles,27,Packers,23,GBPHI,GB,Packers,Green Bay Packers,PHI,Eagles,Philadelphia Eagles,23,27
BleacherReport,Eagles,28,Packers,23,GBPHI,GB,Packers,Green Bay Packers,PHI,Eagles,Philadelphia Eagles,23,28
BillBender,Eagles,28,Packers,24,GBPHI,GB,Packers,Green Bay Packers,PHI,Eagles,Philadelphia Eagles,24,28
MarcusMosher,Eagles,28,Packers,21,GBPHI,GB,Packers,Green Bay Packers,PHI,Eagles,Philadelphia Eagles,21,28
Sportsnaut,Eagles,31,Packers,24,GBPHI,GB,Packers,Green Bay Packers,PHI,Eagles,Philadelphia Eagles,24,31
VinnieIyer,Eagles,24,Packers,20,GBPHI,GB,Packers,Green Bay Packers,PHI,Eagles,Philadelphia Eagles,20,24
KahlerESPN,Eagles,34,Packers,28,GBPHI,GB,Packers,Green Bay Packers,PHI,Eagles,Philadelphia Eagles,28,34
MoodyESPN,Eagles,31,Packers,21,GBPHI,GB,Packers,Green Bay Packers,PHI,Eagles,Philadelphia Eagles,21,31
WalderESPN,Eagles,24,Packers,21,GBPHI,GB,Packers,Green Bay Packers,PHI,Eagles,Philadelphia Eagles,21,24
Dimers,EAGLES,25,PACKERS,20,GBPHI,GB,Packers,Green Bay Packers,PHI,Eagles,Philadelphia Eagles,20,25
JarrettBell,Eagles,24,Packers,20,GBPHI,GB,Packers,Green Bay Packers,PHI,Eagles,Philadelphia Eagles,20,24
ChrisBumbaca,Eagles,27,Packers,21,GBPHI,GB,Packers,Green Bay Packers,PHI,Eagles,Philadelphia Eagles,21,27
NateDavis,Eagles,24,Packers,20,GBPHI,GB,Packers,Green Bay Packers,PHI,Eagles,Philadelphia Eagles,20,24
TylerDragon,Eagles,31,Packers,24,GBPHI,GB,Packers,Green Bay Packers,PHI,Eagles,Philadelphia Eagles,24,31
MikeMiddlehurst-Schwartz,Eagles,27,Packers,17,GBPHI,GB,Packers,Green Bay Packers,PHI,Eagles,Philadelphia Eagles,17,27
LorenzoReyes,Eagles,29,Packers,21,GBPHI,GB,Packers,Green Bay Packers,PHI,Eagles,Philadelphia Eagles,21,29
AliNFL,Eagles,26,Packers,21,GBPHI,GB,Packers,Green Bay Packers,PHI,Eagles,Philadelphia Eagles,21,26
BrookeNFL,Eagles,27,Packers,23,GBPHI,GB,Packers,Green Bay Packers,PHI,Eagles,Philadelphia Eagles,23,27
DanNFL,Eagles,26,Packers,21,GBPHI,GB,Packers,Green Bay Packers,PHI,Eagles,Philadelphia Eagles,21,26
GennaroNFL,Eagles,34,Packers,14,GBPHI,GB,Packers,Green Bay Packers,PHI,Eagles,Philadelphia Eagles,14,34
TomNFL,Eagles,27,Packers,21,GBPHI,GB,Packers,Green Bay Packers,PHI,Eagles,Philadelphia Eagles,21,27
PetePrisco,Packers,23,Eagles,20,GBPHI,GB,Packers,Green Bay Packers,PHI,Eagles,Philadelphia Eagles,23,20
TerrySullivan,Chargers,24,Texans,20,LACHOU,LAC,Chargers,Los Angeles Chargers,HOU,Texans,Houston Texans,24,20
PetePrisco,Chargers,27,Texans,20,LACHOU,LAC,Chargers,Los Angeles Chargers,HOU,Texans,Houston Texans,27,20
BleacherReport,Chargers,26,Texans,20,LACHOU,LAC,Chargers,Los Angeles Chargers,HOU,Texans,Houston Texans,26,20
BillBender,Chargers,27,Texans,20,LACHOU,LAC,Chargers,Los Angeles Chargers,HOU,Texans,Houston Texans,27,20
MarcusMosher,Chargers,27,Texans,21,LACHOU,LAC,Chargers,Los Angeles Chargers,HOU,Texans,Houston Texans,27,21
Sportsnaut,Chargers,20,Texans,13,LACHOU,LAC,Chargers,Los Angeles Chargers,HOU,Texans,Houston Texans,20,13
VinnieIyer,Chargers,27,Texans,20,LACHOU,LAC,Chargers,Los Angeles Chargers,HOU,Texans,Houston Texans,27,20
KahlerESPN,Chargers,28,Texans,20,LACHOU,LAC,Chargers,Los Angeles Chargers,HOU,Texans,Houston Texans,28,20
MoodyESPN,Chargers,27,Texans,23,LACHOU,LAC,Chargers,Los Angeles Chargers,HOU,Texans,Houston Texans,27,23
WalderESPN,Chargers,20,Texans,9,LACHOU,LAC,Chargers,Los Angeles Chargers,HOU,Texans,Houston Texans,20,9
Dimers,CHARGERS,23,TEXANS,20,LACHOU,LAC,Chargers,Los Angeles Chargers,HOU,Texans,Houston Texans,23,20
JarrettBell,Chargers,26,Texans,24,LACHOU,LAC,Chargers,Los Angeles Chargers,HOU,Texans,Houston Texans,26,24
ChrisBumbaca,Chargers,23,Texans,19,LACHOU,LAC,Chargers,Los Angeles Chargers,HOU,Texans,Houston Texans,23,19
NateDavis,Chargers,24,Texans,17,LACHOU,LAC,Chargers,Los Angeles Chargers,HOU,Texans,Houston Texans,24,17
TylerDragon,Chargers,25,Texans,21,LACHOU,LAC,Chargers,Los Angeles Chargers,HOU,Texans,Houston Texans,25,21
MikeMiddlehurst-Schwartz,Chargers,21,Texans,13,LACHOU,LAC,Chargers,Los Angeles Chargers,HOU,Texans,Houston Texans,21,13
LorenzoReyes,Chargers,21,Texans,20,LACHOU,LAC,Chargers,Los Angeles Chargers,HOU,Texans,Houston Texans,21,20
AliNFL,Chargers,24,Texans,20,LACHOU,LAC,Chargers,Los Angeles Chargers,HOU,Texans,Houston Texans,24,20
BrookeNFL,Chargers,25,Texans,20,LACHOU,LAC,Chargers,Los Angeles Chargers,HOU,Texans,Houston Texans,25,20
DanNFL,Chargers,23,Texans,19,LACHOU,LAC,Chargers,Los Angeles Chargers,HOU,Texans,Houston Texans,23,19
GennaroNFL,Chargers,23,Texans,13,LACHOU,LAC,Chargers,Los Angeles Chargers,HOU,Texans,Houston Texans,23,13
TomNFL,Chargers,24,Texans,20,LACHOU,LAC,Chargers,Los Angeles Chargers,HOU,Texans,Houston Texans,24,20
TerrySullivan,Rams,24,Vikings,23,MINLAR,MIN,Vikings,Minnesota Vikings,LAR,L.A. Rams,Los Angeles Rams,23,24
PetePrisco,Rams,28,Vikings,24,MINLAR,MIN,Vikings,Minnesota Vikings,LAR,L.A. Rams,Los Angeles Rams,24,28
BleacherReport,Rams,31,Vikings,30,MINLAR,MIN,Vikings,Minnesota Vikings,LAR,L.A. Rams,Los Angeles Rams,30,31
BillBender,Rams,28,Vikings,27,MINLAR,MIN,Vikings,Minnesota Vikings,LAR,L.A. Rams,Los Angeles Rams,27,28
KahlerESPN,Rams,28,Vikings,26,MINLAR,MIN,Vikings,Minnesota Vikings,LAR,L.A. Rams,Los Angeles Rams,26,28
MoodyESPN,Rams,30,Vikings,26,MINLAR,MIN,Vikings,Minnesota Vikings,LAR,L.A. Rams,Los Angeles Rams,26,30
BrookeNFL,Rams,24,Vikings,23,MINLAR,MIN,Vikings,Minnesota Vikings,LAR,L.A. Rams,Los Angeles Rams,23,24
DanNFL,Rams,25,Vikings,23,MINLAR,MIN,Vikings,Minnesota Vikings,LAR,L.A. Rams,Los Angeles Rams,23,25
