SHORT NAME,GAMEID,AWAY,HOME,GameInt,Spread,Total
49ers,LARSF,LAR,SF,4765815,4.5,49
Bears,NYGCHI,NYG,CHI,4765812,-4.5,46.5
Bills,BUFMIA,BUF,MIA,4765813,9.5,49.5
Broncos,LVDEN,LV,DEN,4765806,-9,42.5
Browns,CLENYJ,CLE,NYJ,4765810,2.5,37.5
Buccaneers,NETB,NE,TB,4765808,-2.5,48.5
Bucs,NETB,NE,TB,4765808,-2.5,48.5
Cardinals,ARISEA,ARI,SEA,4765814,-6.5,45.5
Chargers,PITLAC,PIT,LAC,4765817,-3,44.5
Colts,ATLIND,ATL,IND,4765638,-6.5,48
Commanders,DETWAS,DET,WAS,4765816,8,49
Dolphins,BUFMIA,BUF,MIA,4765813,9.5,49.5
Eagles,PHIGB,PHI,GB,4765633,-2,45.5
Falcons,ATLIND,ATL,IND,4765638,-6.5,48
Giants,NYGCHI,NYG,CHI,4765812,-4.5,46.5
Jaguars,JACHOU,JAC,HOU,4765809,1,37.5
Jets,CLENYJ,CLE,NYJ,4765810,2.5,37.5
Lions,DETWAS,DET,WAS,4765816,8,49
Packers,PHIGB,PHI,GB,4765633,-2,45.5
Panthers,NOCAR,NO,CAR,4765811,-6,39.5
Patriots,NETB,NE,TB,4765808,-2.5,48.5
Pats,NETB,NE,TB,4765808,-2.5,48.5
Raiders,LVDEN,LV,DEN,4765806,-9,42.5
Rams,LARSF,LAR,SF,4765815,4.5,49
Ravens,BALMIN,BAL,MIN,4765807,4,49
Saints,NOCAR,NO,CAR,4765811,-6,39.5
Seahawks,ARISEA,ARI,SEA,4765814,-6.5,45.5
Steelers,PITLAC,PIT,LAC,4765817,-3,44.5
Texans,JACHOU,JAC,HOU,4765809,1,37.5
Vikings,BALMIN,BAL,MIN,4765807,4,49
,,,,,,
,,,,,,
GameIds,"[4765633, 4765638, 4765806, 4765807, 4765808, 4765809, 4765810, 4765811, 4765812, 4765813, 4765814, 4765815, 4765816, 4765817]",,,,,
