SHORT NAME,GAMEID,AWAY,HOME,GAMEINT,SPREAD,TOTAL
49ers,CARSF,CAR,SF,4765845,-7,48
Bears,PITCHI,PIT,CHI,4765836,-2.5,45.5
Bengals,NECIN,NE,CIN,4765835,7,50
Bills,BUFHOU,BUF,HOU,4765832,6,43.5
Browns,CLELV,CLE,LV,4765841,-4,35.5
Buccaneers,TBLAR,TB,LAR,4765844,-7,49
Bucs,TBLAR,TB,LAR,4765844,-7,49
Cardinals,JAXARI,JAX,ARI,4765840,3,47.5
Chiefs,INDKC,IND,KC,4765834,-3,50
Colts,INDKC,IND,KC,4765834,-3,50
Cowboys,PHIDAL,PHI,DAL,4765842,3,47.5
Eagles,PHIDAL,PHI,DAL,4765842,3,47.5
Falcons,ATLNO,ATL,NO,4765843,-1.5,39
Giants,NYGDET,NYG,DET,4765838,-10,50.5
Jaguars,JAXARI,JAX,ARI,4765840,3,47.5
Jets,NYJBAL,NYJ,BAL,4765837,-13,44.5
Lions,NYGDET,NYG,DET,4765838,-10,50.5
Packers,MINGB,MIN,GB,4765833,-6.5,41.5
Panthers,CARSF,CAR,SF,4765845,-7,48
Patriots,NECIN,NE,CIN,4765835,7,50
Pats,NECIN,NE,CIN,4765835,7,50
Raiders,CLELV,CLE,LV,4765841,-4,35.5
Rams,TBLAR,TB,LAR,4765844,-7,49
Ravens,NYJBAL,NYJ,BAL,4765837,-13,44.5
Saints,ATLNO,ATL,NO,4765843,-1.5,39
Seahawks,SEATEN,SEA,TEN,4765839,13.5,40.5
Steelers,PITCHI,PIT,CHI,4765836,-2.5,45.5
Texans,BUFHOU,BUF,HOU,4765832,6,43.5
Titans,SEATEN,SEA,TEN,4765839,13.5,40.5
Vikings,MINGB,MIN,GB,4765833,-6.5,41.5
,,,,,,
GameIds,"[4765832, 4765833, 4765834, 4765835, 4765836, 4765837, 4765838, 4765839, 4765840, 4765841, 4765842, 4765843, 4765844, 4765845]",,,,,
