Source,Winner,Winner Score,Loser,Loser Score,GameID,GameIDInt,Away Code,Away Short Name,Away Full Name,Home Code,Home Short Name,Home Full Name,AwayScore,HomeScore,Spread,Total
TylerSullivan,Cowboys,30,Lions,24,DALDET,4765860,DAL,Cowboys,Dallas Cowboys,DET,Lions,Detroit Lions,30,24,-3,54.5
TylerSullivan,Jaguars,24,Colts,23,INDJAC,4765866,IND,Colts,Indianapolis Colts,JAC,Jaguars,Jacksonville Jaguars,23,24,1.5,47.5
TylerSullivan,Browns,23,Titans,14,TENCLE,4765863,TEN,Titans,Tennessee Titans,CLE,Browns,Cleveland Browns,14,23,-4,33.5
TylerSullivan,Texans,24,Chiefs,20,HOUKC,4765872,HOU,Texans,Houston Texans,KC,Chiefs,Kansas City Chiefs,24,20,-3,41.5
TylerSullivan,Eagles,26,Chargers,21,PHILAC,4765873,PHI,Eagles,Philadelphia Eagles,LAC,Chargers,Los Angeles Chargers,26,21,3,40.5
TylerSullivan,Bills,27,Bengals,24,CINBUF,4765870,CIN,Bengals,Cincinnati Bengals,BUF,Bills,Buffalo Bills,24,27,-5.5,54
TylerSullivan,Dolphins,24,Jets,20,MIANYJ,4765864,MIA,Dolphins,Miami Dolphins,NYJ,Jets,New York Jets,24,20,3,41
TylerSullivan,Buccaneers,27,Saints,17,NOTB,4765865,NO,Saints,New Orleans Saints,TB,Buccaneers,Tampa Bay Buccaneers,17,27,-8,42
TylerSullivan,Ravens,24,Steelers,20,PITBAL,4765861,PIT,Steelers,Pittsburgh Steelers,BAL,Ravens,Baltimore Ravens,20,24,-5.5,43
TylerSullivan,Seahawks,30,Falcons,20,SEAATL,4765862,SEA,Seahawks,Seattle Seahawks,ATL,Falcons,Atlanta Falcons,30,20,7,44.5
TylerSullivan,Commanders,24,Vikings,17,WASMIN,4765868,WAS,Commanders,Washington Commanders,MIN,Vikings,Minnesota Vikings,24,17,-2,42.5
TylerSullivan,Broncos,26,Raiders,16,DENLV,4765869,DEN,Broncos,Denver Broncos,LV,Raiders,Las Vegas Raiders,26,16,7.5,40
TylerSullivan,Packers,27,Bears,20,CHIGB,4765867,CHI,Bears,Chicago Bears,GB,Packers,Green Bay Packers,20,27,-6.5,44.5
TylerSullivan,Rams,27,Cardinals,21,LARARI,4765871,LAR,Rams,Los Angeles Rams,ARI,Cardinals,Arizona Cardinals,27,21,9,47.5
PetePrisco,Cowboys,34,Lions,33,DALDET,4765860,DAL,Cowboys,Dallas Cowboys,DET,Lions,Detroit Lions,34,33,-3,54.5
PetePrisco,Bills,27,Bengals,20,CINBUF,4765870,CIN,Bengals,Cincinnati Bengals,BUF,Bills,Buffalo Bills,20,27,-5.5,54
PetePrisco,Jaguars,21,Colts,17,INDJAC,4765866,IND,Colts,Indianapolis Colts,JAC,Jaguars,Jacksonville Jaguars,17,21,1.5,47.5
PetePrisco,Jets,24,Dolphins,20,MIANYJ,4765864,MIA,Dolphins,Miami Dolphins,NYJ,Jets,New York Jets,20,24,3,41
PetePrisco,Buccaneers,24,Saints,17,NOTB,4765865,NO,Saints,New Orleans Saints,TB,Buccaneers,Tampa Bay Buccaneers,17,24,-8,42
PetePrisco,Ravens,27,Steelers,14,PITBAL,4765861,PIT,Steelers,Pittsburgh Steelers,BAL,Ravens,Baltimore Ravens,14,27,-5.5,43
PetePrisco,Seahawks,27,Falcons,16,SEAATL,4765862,SEA,Seahawks,Seattle Seahawks,ATL,Falcons,Atlanta Falcons,27,16,7,44.5
PetePrisco,Browns,20,Titans,10,TENCLE,4765863,TEN,Titans,Tennessee Titans,CLE,Browns,Cleveland Browns,10,20,-4,33.5
PetePrisco,Vikings,24,Commanders,17,WASMIN,4765868,WAS,Commanders,Washington Commanders,MIN,Vikings,Minnesota Vikings,17,24,-2,42.5
PetePrisco,Broncos,31,Raiders,14,DENLV,4765869,DEN,Broncos,Denver Broncos,LV,Raiders,Las Vegas Raiders,31,14,7.5,40
PetePrisco,Packers,28,Bears,20,CHIGB,4765867,CHI,Bears,Chicago Bears,GB,Packers,Green Bay Packers,20,28,-6.5,44.5
PetePrisco,Rams,34,Cardinals,20,LARARI,4765871,LAR,Rams,Los Angeles Rams,ARI,Cardinals,Arizona Cardinals,34,20,9,47.5
PetePrisco,Chiefs,23,Texans,17,HOUKC,4765872,HOU,Texans,Houston Texans,KC,Chiefs,Kansas City Chiefs,17,23,-3,41.5
PetePrisco,Eagles,26,Chargers,20,PHILAC,4765873,PHI,Eagles,Philadelphia Eagles,LAC,Chargers,Los Angeles Chargers,26,20,3,40.5
BillBender,Lions,28,Cowboys,24,DALDET,4765860,DAL,Cowboys,Dallas Cowboys,DET,Lions,Detroit Lions,24,28,-3,54.5
BillBender,Seahawks,26,Falcons,18,SEAATL,4765862,SEA,Seahawks,Seattle Seahawks,ATL,Falcons,Atlanta Falcons,26,18,7,44.5
BillBender,Bills,31,Bengals,28,CINBUF,4765870,CIN,Bengals,Cincinnati Bengals,BUF,Bills,Buffalo Bills,28,31,-5.5,54
BillBender,Browns,17,Titans,12,TENCLE,4765863,TEN,Titans,Tennessee Titans,CLE,Browns,Cleveland Browns,12,17,-4,33.5
BillBender,Commanders,22,Vikings,19,WASMIN,4765868,WAS,Commanders,Washington Commanders,MIN,Vikings,Minnesota Vikings,22,19,-2,42.5
BillBender,Dolphins,24,Jets,17,MIANYJ,4765864,MIA,Dolphins,Miami Dolphins,NYJ,Jets,New York Jets,24,17,3,41
BillBender,Buccaneers,30,Saints,16,NOTB,4765865,NO,Saints,New Orleans Saints,TB,Buccaneers,Tampa Bay Buccaneers,16,30,-8,42
BillBender,Jaguars,24,Colts,22,INDJAC,4765866,IND,Colts,Indianapolis Colts,JAC,Jaguars,Jacksonville Jaguars,22,24,1.5,47.5
BillBender,Ravens,23,Steelers,20,PITBAL,4765861,PIT,Steelers,Pittsburgh Steelers,BAL,Ravens,Baltimore Ravens,20,23,-5.5,43
BillBender,Broncos,26,Raiders,16,DENLV,4765869,DEN,Broncos,Denver Broncos,LV,Raiders,Las Vegas Raiders,26,16,7.5,40
BillBender,Packers,28,Bears,20,CHIGB,4765867,CHI,Bears,Chicago Bears,GB,Packers,Green Bay Packers,20,28,-6.5,44.5
BillBender,Rams,31,Cardinals,21,LARARI,4765871,LAR,Rams,Los Angeles Rams,ARI,Cardinals,Arizona Cardinals,31,21,9,47.5
BillBender,Chiefs,26,Texans,20,HOUKC,4765872,HOU,Texans,Houston Texans,KC,Chiefs,Kansas City Chiefs,20,26,-3,41.5
BillBender,Chargers,21,Eagles,17,PHILAC,4765873,PHI,Eagles,Philadelphia Eagles,LAC,Chargers,Los Angeles Chargers,17,21,3,40.5
DataSkrive,Lions,31,Cowboys,24,DALDET,4765860,DAL,Cowboys,Dallas Cowboys,DET,Lions,Detroit Lions,24,31,-3,54.5
DataSkrive,Jets,23,Dolphins,22,MIANYJ,4765864,MIA,Dolphins,Miami Dolphins,NYJ,Jets,New York Jets,22,23,3,41
DataSkrive,Browns,22,Titans,18,TENCLE,4765863,TEN,Titans,Tennessee Titans,CLE,Browns,Cleveland Browns,18,22,-4,33.5
DataSkrive,Vikings,24,Commanders,21,WASMIN,4765868,WAS,Commanders,Washington Commanders,MIN,Vikings,Minnesota Vikings,21,24,-2,42.5
DataSkrive,Bills,34,Bengals,18,CINBUF,4765870,CIN,Bengals,Cincinnati Bengals,BUF,Bills,Buffalo Bills,18,34,-5.5,54
DataSkrive,Seahawks,29,Falcons,17,SEAATL,4765862,SEA,Seahawks,Seattle Seahawks,ATL,Falcons,Atlanta Falcons,29,17,7,44.5
DataSkrive,Jaguars,25,Colts,23,INDJAC,4765866,IND,Colts,Indianapolis Colts,JAC,Jaguars,Jacksonville Jaguars,23,25,1.5,47.5
DataSkrive,Ravens,26,Steelers,22,PITBAL,4765861,PIT,Steelers,Pittsburgh Steelers,BAL,Ravens,Baltimore Ravens,22,26,-5.5,43
DataSkrive,Buccaneers,30,Saints,14,NOTB,4765865,NO,Saints,New Orleans Saints,TB,Buccaneers,Tampa Bay Buccaneers,14,30,-8,42
DataSkrive,Broncos,29,Raiders,13,DENLV,4765869,DEN,Broncos,Denver Broncos,LV,Raiders,Las Vegas Raiders,29,13,7.5,40
DataSkrive,Packers,27,Bears,21,CHIGB,4765867,CHI,Bears,Chicago Bears,GB,Packers,Green Bay Packers,21,27,-6.5,44.5
DataSkrive,Rams,31,Cardinals,15,LARARI,4765871,LAR,Rams,Los Angeles Rams,ARI,Cardinals,Arizona Cardinals,31,15,9,47.5
DataSkrive,Texans,22,Chiefs,19,HOUKC,4765872,HOU,Texans,Houston Texans,KC,Chiefs,Kansas City Chiefs,22,19,-3,41.5
DataSkrive,Eagles,23,Chargers,21,PHILAC,4765873,PHI,Eagles,Philadelphia Eagles,LAC,Chargers,Los Angeles Chargers,23,21,3,40.5
VinnieIyer,Cowboys,34,Lions,31,DALDET,4765860,DAL,Cowboys,Dallas Cowboys,DET,Lions,Detroit Lions,34,31,-3,54.5
VinnieIyer,Packers,23,Bears,20,CHIGB,4765867,CHI,Bears,Chicago Bears,GB,Packers,Green Bay Packers,20,23,-6.5,44.5
VinnieIyer,Chiefs,24,Texans,17,HOUKC,4765872,HOU,Texans,Houston Texans,KC,Chiefs,Kansas City Chiefs,17,24,-3,41.5
VinnieIyer,Steelers,20,Ravens,17,PITBAL,4765861,PIT,Steelers,Pittsburgh Steelers,BAL,Ravens,Baltimore Ravens,20,17,-5.5,43
