Source,Winner,Winner Score,Loser,Loser Score
TylerSullivan,Broncos,27,Chiefs,10
TylerSullivan,Eagles,27,Bills,24
TylerSullivan,Bengals,33,Cardinals,23
TylerSullivan,Jaguars,27,Colts,20
TylerSullivan,Titans,23,Saints,21
TylerSullivan,Cowboys,30,Commanders,20
TylerSullivan,Lions,28,Vikings,17
TylerSullivan,Texans,23,Chargers,21
TylerSullivan,Packers,24,Ravens,20
TylerSullivan,Patriots,30,Jets,17
TylerSullivan,Steelers,23,Browns,20
TylerSullivan,Seahawks,28,Panthers,21
TylerSullivan,Buccaneers,27,Dolphins,20
TylerSullivan,Raiders,23,Giants,17
TylerSullivan,49ers,30,Bears,24
TylerSullivan,Rams,30,Falcons,20
PetePrisco,Cowboys,31,Commanders,2
PetePrisco,Lions,21,Vikings,1
PetePrisco,Broncos,24,Chiefs,1
PetePrisco,Chargers,22,Texans,1
PetePrisco,Packers,24,Ravens,2
PetePrisco,Bengals,38,Cardinals,1
PetePrisco,Jaguars,35,Colts,2
PetePrisco,Saints,27,Titans,1
PetePrisco,Steelers,23,Browns,1
PetePrisco,Seahawks,24,Panthers,1
PetePrisco,Buccaneers,28,Dolphins,2
PetePrisco,Raiders,21,Giants,1
PetePrisco,Bills,33,Eagles,3
PetePrisco,49ers,32,Bears,2
PetePrisco,Rams,31,Falcons,21
BillBender,Cowboys,30,Commanders,20
BillBender,Lions,28,Vikings,17
BillBender,Broncos,24,Chiefs,14
BillBender,Chargers,20,Texans,17
BillBender,Packers,23,Ravens,20
BillBender,Bengals,31,Cardinals,21
BillBender,Steelers,27,"Browns,",13
BillBender,Titans,24,Saints,23
BillBender,Jaguars,26,Colts,23
BillBender,Buccaneers,29,Dolphins,17
BillBender,Patriots,31,Jets,13
BillBender,Seahawks,30,Panthers,25
BillBender,Raiders,17,Giants,15
BillBender,Bills,27,Eagles,20
BillBender,49ers,28,Bears,23
BillBender,Rams,27,Falcons,21
DataSkrive,Cowboys,27,Commanders,26
DataSkrive,Lions,25,Vikings,24
DataSkrive,Broncos,23,Chiefs,20
DataSkrive,Texans,24,Chargers,18
DataSkrive,Packers,26,Ravens,19
DataSkrive,Patriots,32,Jets,16
DataSkrive,Steelers,27,Browns,17
DataSkrive,Buccaneers,26,Dolphins,21
DataSkrive,Bengals,27,Cardinals,24
DataSkrive,Jaguars,27,Colts,23
DataSkrive,Seahawks,29,Panthers,16
DataSkrive,Titans,22,Saints,21
DataSkrive,Giants,24,Raiders,21
DataSkrive,Bills,26,Eagles,22
DataSkrive,49ers,30,Bears,19
DataSkrive,Rams,33,Falcons,15
TylerSullivan,,<class 'ValueError'>
PetePrisco,,<class 'ValueError'>
PetePrisco,,<class 'ValueError'>
DataSkrive,,<class 'ValueError'>
