Source,Winner,Winner Score,Loser,Loser Score,GameCode,GameID,AwayCode,Away Short Name,Away Long Name,HomeCode,Home Short Name,Home Long Name,AwayScore,HomeScore,Spread,Total
TylerSullivan,Vikings,21,Steelers,17,MINPIT,4765634,MIN,Vikings,Minnesota Vikings,PIT,Steelers,Pittsburgh Steelers,21,17,2.5,41
TylerSullivan,Patriots,24,Panthers,21,CARNE,4765729,CAR,Panthers,Carolina Panthers,NE,Patriots,New England Patriots,21,24,-5,43
TylerSullivan,Lions,30,Browns,16,CLEDET,4765726,CLE,Browns,Cleveland Browns,DET,Lions,Detroit Lions,16,30,-10,44
TylerSullivan,Bills,30,Saints,14,NOBUF,4765724,NO,Saints,New Orleans Saints,BUF,Bills,Buffalo Bills,14,30,-15,48
TylerSullivan,Eagles,27,Buccaneers,23,PHITB,4765728,PHI,Eagles,Philadelphia Eagles,TB,Buccaneers,Tampa Bay Buccaneers,27,23,3.5,44
TylerSullivan,Texans,23,Titans,17,TENHOU,4765725,TEN,Titans,Tennessee Titans,HOU,Texans,Houston Texans,17,23,-7,38.5
TylerSullivan,Commanders,28,Falcons,20,WASATL,4765727,WAS,Commanders,Washington Commanders,ATL,Falcons,Atlanta Falcons,28,20,-1,45.5
TylerSullivan,Rams,27,Colts,24,INDLAR,4765732,IND,Colts,Indianapolis Colts,LAR,L.A. Rams,Los Angeles Rams,24,24,-3.5,49
TylerSullivan,49ers,24,Jaguars,20,JACSF,4765731,JAC,Jaguars,Jacksonville Jaguars,SF,49ers,San Francisco 49ers,20,24,-3,47
TylerSullivan,Bears,23,Raiders,21,CHILV,4765733,CHI,Bears,Chicago Bears,LV,Raiders,Las Vegas Raiders,23,21,-1,48
TylerSullivan,Jets,26,Dolphins,23,NYJMIA,4765736,NYJ,Jets,New York Jets,MIA,Dolphins,Miami Dolphins,26,23,-2.5,44.5
PetePrisco,Cardinals,20,Seahawks,17,SEAARI,4765723,SEA,Seahawks,Seattle Seahawks,ARI,Cardinals,Arizona Cardinals,17,20,1.5,44
PetePrisco,Steelers,23,Vikings,20,MINPIT,4765634,MIN,Vikings,Minnesota Vikings,PIT,Steelers,Pittsburgh Steelers,20,23,2.5,41
PetePrisco,Patriots,27,Panthers,20,CARNE,4765729,CAR,Panthers,Carolina Panthers,NE,Patriots,New England Patriots,20,27,-5,43
PetePrisco,Lions,23,Browns,17,CLEDET,4765726,CLE,Browns,Cleveland Browns,DET,Lions,Detroit Lions,17,23,-10,44
PetePrisco,Chargers,26,Giants,14,LACNYG,4765730,LAC,Chargers,Los Angeles Chargers,NYG,N.Y. Giants,New York Giants,26,14,6,43.5
PetePrisco,Bills,35,Saints,10,NOBUF,4765724,NO,Saints,New Orleans Saints,BUF,Bills,Buffalo Bills,10,35,-15,48
PetePrisco,Buccaneers,28,Eagles,27,PHITB,4765728,PHI,Eagles,Philadelphia Eagles,TB,Buccaneers,Tampa Bay Buccaneers,27,28,3.5,44
PetePrisco,Texans,24,Titans,9,TENHOU,4765725,TEN,Titans,Tennessee Titans,HOU,Texans,Houston Texans,9,24,-7,38.5
PetePrisco,Falcons,27,Commanders,23,WASATL,4765727,WAS,Commanders,Washington Commanders,ATL,Falcons,Atlanta Falcons,23,27,-1,45.5
PetePrisco,Rams,28,Colts,23,INDLAR,4765732,IND,Colts,Indianapolis Colts,LAR,L.A. Rams,Los Angeles Rams,23,23,-3.5,49
PetePrisco,Jaguars,29,49ers,26,JACSF,4765731,JAC,Jaguars,Jacksonville Jaguars,SF,49ers,San Francisco 49ers,29,26,-3,47
PetePrisco,Chiefs,24,Ravens,20,BALKC,4765734,BAL,Ravens,Baltimore Ravens,KC,Chiefs,Kansas City Chiefs,20,24,2.5,48.5
PetePrisco,Bears,33,Raiders,30,CHILV,4765733,CHI,Bears,Chicago Bears,LV,Raiders,Las Vegas Raiders,33,30,-1,48
PetePrisco,Packers,33,Cowboys,20,GBDAL,4765735,GB,Packers,Green Bay Packers,DAL,Cowboys,Dallas Cowboys,33,20,6.5,48
PetePrisco,Dolphins,24,Jets,17,NYJMIA,4765736,NYJ,Jets,New York Jets,MIA,Dolphins,Miami Dolphins,17,24,-2.5,44.5
PetePrisco,Broncos,27,Bengals,16,CINDEN,4765737,CIN,Bengals,Cincinnati Bengals,DEN,Broncos,Denver Broncos,16,27,-7.5,44.5
BillBender,Seahawks,21,Cardinals,20,SEAARI,4765723,SEA,Seahawks,Seattle Seahawks,ARI,Cardinals,Arizona Cardinals,21,20,1.5,44
BillBender,Steelers,24,Vikings,21,MINPIT,4765634,MIN,Vikings,Minnesota Vikings,PIT,Steelers,Pittsburgh Steelers,21,24,2.5,41
BillBender,Commanders,29,Falcons,22,WASATL,4765727,WAS,Commanders,Washington Commanders,ATL,Falcons,Atlanta Falcons,29,22,-1,45.5
BillBender,Bills,31,Saints,16,NOBUF,4765724,NO,Saints,New Orleans Saints,BUF,Bills,Buffalo Bills,16,31,-15,48
BillBender,Lions,27,Browns,14,CLEDET,4765726,CLE,Browns,Cleveland Browns,DET,Lions,Detroit Lions,14,27,-10,44
BillBender,Patriots,21,Panthers,19,CARNE,4765729,CAR,Panthers,Carolina Panthers,NE,Patriots,New England Patriots,19,21,-5,43
BillBender,Chargers,24,Giants,14,LACNYG,4765730,LAC,Chargers,Los Angeles Chargers,NYG,N.Y. Giants,New York Giants,24,14,6,43.5
BillBender,Eagles,30,Buccaneers,24,PHITB,4765728,PHI,Eagles,Philadelphia Eagles,TB,Buccaneers,Tampa Bay Buccaneers,30,24,3.5,44
BillBender,Texans,23,Titans,20,TENHOU,4765725,TEN,Titans,Tennessee Titans,HOU,Texans,Houston Texans,20,23,-7,38.5
BillBender,Rams,33,Colts,23,INDLAR,4765732,IND,Colts,Indianapolis Colts,LAR,L.A. Rams,Los Angeles Rams,23,23,-3.5,49
BillBender,49ers,28,Jaguars,21,JACSF,4765731,JAC,Jaguars,Jacksonville Jaguars,SF,49ers,San Francisco 49ers,21,28,-3,47
BillBender,Ravens,24,Chiefs,21,BALKC,4765734,BAL,Ravens,Baltimore Ravens,KC,Chiefs,Kansas City Chiefs,24,21,2.5,48.5
BillBender,Bears,22,Raiders,17,CHILV,4765733,CHI,Bears,Chicago Bears,LV,Raiders,Las Vegas Raiders,22,17,-1,48
BillBender,Packers,27,Cowboys,16,GBDAL,4765735,GB,Packers,Green Bay Packers,DAL,Cowboys,Dallas Cowboys,27,16,6.5,48
BillBender,Dolphins,23,Jets,20,NYJMIA,4765736,NYJ,Jets,New York Jets,MIA,Dolphins,Miami Dolphins,20,23,-2.5,44.5
BillBender,Broncos,25,Bengals,18,CINDEN,4765737,CIN,Bengals,Cincinnati Bengals,DEN,Broncos,Denver Broncos,18,25,-7.5,44.5
DataSkrive,Cardinals,24,Seahawks,21,SEAARI,4765723,SEA,Seahawks,Seattle Seahawks,ARI,Cardinals,Arizona Cardinals,21,24,1.5,44
DataSkrive,Vikings,24,Steelers,20,MINPIT,4765634,MIN,Vikings,Minnesota Vikings,PIT,Steelers,Pittsburgh Steelers,24,20,2.5,41
