SHORT NAME,GAMEID,AWAY,HOME,GameIdInt
49ers,SFPIT,SF,PIT,4700666
Bears,GBCHI,GB,CHI,4700670
Bengals,CINCLE,CIN,CLE,4700667
Bills,BUFNYJ,BUF,NYJ,4700631
Broncos,LVDEN,LV,DEN,4700674
Browns,CINCLE,CIN,CLE,4700667
Buccaneers,TBMIN,TB,MIN,4700664
Bucs,TBMIN,TB,MIN,4700664
Cardinals,ARIWAS,ARI,WAS,4700665
Chargers,MIALAC,MIA,LAC,4700673
Chiefs,DETKC,DET,KC,4700630
Colts,JACIND,JAC,IND,4700663
Commanders,ARIWAS,ARI,WAS,4700665
Cowboys,DALNYG,DAL,NYG,4700675
Dolphins,MIALAC,MIA,LAC,4700673
Eagles,PHINE,PHI,NE,4700671
Falcons,CARATL,CAR,ATL,4700668
Giants,DALNYG,DAL,NYG,4700675
Jaguars,JACIND,JAC,IND,4700663
Jets,BUFNYJ,BUF,NYJ,4700631
Lions,DETKC,DET,KC,4700630
Packers,GBCHI,GB,CHI,4700670
Panthers,CARATL,CAR,ATL,4700668
Patriots,PHINE,PHI,NE,4700671
Pats,PHINE,PHI,NE,4700671
Raiders,LVDEN,LV,DEN,4700674
Rams,LARSEA,LAR,SEA,4700672
Ravens,HOUBAL,HOU,BAL,4700669
Saints,TENNO,TEN,NO,4700661
Seahawks,LARSEA,LAR,SEA,4700672
Steelers,SFPIT,SF,PIT,4700666
Texans,HOUBAL,HOU,BAL,4700669
Titans,TENNO,TEN,NO,4700661
Vikings,TBMIN,TB,MIN,4700664
