Source,Winner,Winner Score,Loser,Loser Score,GameID,Away Code,Away Short Name,Away Full Name,Home Code,Home Short Name,Home Full Name,AwayScore,HomeScore
TerrySullivan,Chiefs,28,Eagles,24,KCPHI,KC,Chiefs,Kansas City Chiefs,PHI,Eagles,Philadelphia Eagles,28,24
PetePrisco,Chiefs,30,Eagles,27,KCPHI,KC,Chiefs,Kansas City Chiefs,PHI,Eagles,Philadelphia Eagles,30,27
BillBender,Chiefs,30,Eagles,27,KCPHI,KC,Chiefs,Kansas City Chiefs,PHI,Eagles,Philadelphia Eagles,30,27
DataSkrive,Chiefs,27,Eagles,24,KCPHI,KC,Chiefs,Kansas City Chiefs,PHI,Eagles,Philadelphia Eagles,27,24
VinnieIyer,Chiefs,30,Eagles,27,KCPHI,KC,Chiefs,Kansas City Chiefs,PHI,Eagles,Philadelphia Eagles,30,27
Dimers,Chiefs,24,Eagles,22,KCPHI,KC,Chiefs,Kansas City Chiefs,PHI,Eagles,Philadelphia Eagles,24,22
JarrettBell,Chiefs,34,Eagles,30,KCPHI,KC,Chiefs,Kansas City Chiefs,PHI,Eagles,Philadelphia Eagles,34,30
ChrisBumbaca,Eagles,32,Chiefs,29,KCPHI,KC,Chiefs,Kansas City Chiefs,PHI,Eagles,Philadelphia Eagles,32,29
NateDavis,Eagles,30,Chiefs,27,KCPHI,KC,Chiefs,Kansas City Chiefs,PHI,Eagles,Philadelphia Eagles,30,27
TylerDragon,Chiefs,27,Eagles,24,KCPHI,KC,Chiefs,Kansas City Chiefs,PHI,Eagles,Philadelphia Eagles,27,24
MikeMiddlehurst-Schwartz,Eagles,20,Chiefs,17,KCPHI,KC,Chiefs,Kansas City Chiefs,PHI,Eagles,Philadelphia Eagles,20,17
LorenzoReyes,Chiefs,26,Eagles,23,KCPHI,KC,Chiefs,Kansas City Chiefs,PHI,Eagles,Philadelphia Eagles,26,23
JohnBreech,Eagles,34,Chiefs,24,KCPHI,KC,Chiefs,Kansas City Chiefs,PHI,Eagles,Philadelphia Eagles,34,24
PFN,Eagles,27,Chiefs,24,KCPHI,KC,Chiefs,Kansas City Chiefs,PHI,Eagles,Philadelphia Eagles,27,24
NFLSpinzone,Chiefs,27,Eagles,24,KCPHI,KC,Chiefs,Kansas City Chiefs,PHI,Eagles,Philadelphia Eagles,27,24
BleacherReport,Eagles,28,Chiefs,24,KCPHI,KC,Chiefs,Kansas City Chiefs,PHI,Eagles,Philadelphia Eagles,28,24
AaronSchatzESPN,Chiefs,31,Eagles,25,KCPHI,KC,Chiefs,Kansas City Chiefs,PHI,Eagles,Philadelphia Eagles,31,25
AndrewHawkinsESPN,Chiefs,33,Eagles,30,KCPHI,KC,Chiefs,Kansas City Chiefs,PHI,Eagles,Philadelphia Eagles,33,30
BenBabyESPN,Chiefs,24,Eagles,21,KCPHI,KC,Chiefs,Kansas City Chiefs,PHI,Eagles,Philadelphia Eagles,24,21
BenSolakESPN,Chiefs,31,Eagles,27,KCPHI,KC,Chiefs,Kansas City Chiefs,PHI,Eagles,Philadelphia Eagles,31,27
BrookePryorESPN,Chiefs,32,Eagles,29,KCPHI,KC,Chiefs,Kansas City Chiefs,PHI,Eagles,Philadelphia Eagles,32,29
DamienWoodyESPN,Chiefs,27,Eagles,24,KCPHI,KC,Chiefs,Kansas City Chiefs,PHI,Eagles,Philadelphia Eagles,27,24
DanGrazianoESPN,Chiefs,27,Eagles,19,KCPHI,KC,Chiefs,Kansas City Chiefs,PHI,Eagles,Philadelphia Eagles,27,19
DanOrlovskyESPN,Chiefs,24,Eagles,21,KCPHI,KC,Chiefs,Kansas City Chiefs,PHI,Eagles,Philadelphia Eagles,24,21
DanielOyefusiESPN,Chiefs,27,Eagles,24,KCPHI,KC,Chiefs,Kansas City Chiefs,PHI,Eagles,Philadelphia Eagles,27,24
DavidNewtonESPN,Chiefs,34,Eagles,30,KCPHI,KC,Chiefs,Kansas City Chiefs,PHI,Eagles,Philadelphia Eagles,34,30
