Source,Winner,Winner Score,Loser,Loser Score,GameID,Away Code,Away Short Name,Away Full Name,Home Code,Home Short Name,Home Full Name,AwayScore,HomeScore
TerrySullivan,49ers,27,Rams,17,SFLAR,SF,49ers,San Francisco 49ers,LAR,L.A. Rams,Los Angeles Rams,27,17
PetePrisco,49ers,27,Rams,18,SFLAR,SF,49ers,San Francisco 49ers,LAR,L.A. Rams,Los Angeles Rams,27,18
BleacherReport,49ers,26,Rams,21,SFLAR,SF,49ers,San Francisco 49ers,LAR,L.A. Rams,Los Angeles Rams,26,21
BillBender,49ers,26,Rams,19,SFLAR,SF,49ers,San Francisco 49ers,LAR,L.A. Rams,Los Angeles Rams,26,19
DataSkrive,49ers,27,Rams,20,SFLAR,SF,49ers,San Francisco 49ers,LAR,L.A. Rams,Los Angeles Rams,27,20
MarcusMosher,49ers,31,Rams,13,SFLAR,SF,49ers,San Francisco 49ers,LAR,L.A. Rams,Los Angeles Rams,31,13
Jeremy Cluff,49ers,27,Rams,16,SFLAR,SF,49ers,San Francisco 49ers,LAR,L.A. Rams,Los Angeles Rams,27,16
TimCrean,49ers,30,Rams,7,SFLAR,SF,49ers,San Francisco 49ers,LAR,L.A. Rams,Los Angeles Rams,30,7
Sportsnaut,49ers,31,Rams,13,SFLAR,SF,49ers,San Francisco 49ers,LAR,L.A. Rams,Los Angeles Rams,31,13
VinnieIyer,49ers,31,Rams,20,SFLAR,SF,49ers,San Francisco 49ers,LAR,L.A. Rams,Los Angeles Rams,31,20
KahlerESPN,49ers,28,Rams,17,SFLAR,SF,49ers,San Francisco 49ers,LAR,L.A. Rams,Los Angeles Rams,28,17
MoodyESPN,49ers,34,Rams,19,SFLAR,SF,49ers,San Francisco 49ers,LAR,L.A. Rams,Los Angeles Rams,34,19
WalderESPN,49ers,30,Rams,17,SFLAR,SF,49ers,San Francisco 49ers,LAR,L.A. Rams,Los Angeles Rams,30,17
TerrySullivan,Bears,21,Colts,17,CHIIND,CHI,Bears,Chicago Bears,IND,Colts,Indianapolis Colts,21,17
BleacherReport,Bears,23,Colts,20,CHIIND,CHI,Bears,Chicago Bears,IND,Colts,Indianapolis Colts,23,20
MarcusMosher,Bears,21,Colts,18,CHIIND,CHI,Bears,Chicago Bears,IND,Colts,Indianapolis Colts,21,18
Jeremy Cluff,Bears,27,Colts,17,CHIIND,CHI,Bears,Chicago Bears,IND,Colts,Indianapolis Colts,27,17
Sportsnaut,Bears,27,Colts,17,CHIIND,CHI,Bears,Chicago Bears,IND,Colts,Indianapolis Colts,27,17
VinnieIyer,Bears,24,Colts,20,CHIIND,CHI,Bears,Chicago Bears,IND,Colts,Indianapolis Colts,24,20
WalderESPN,Bears,24,Colts,20,CHIIND,CHI,Bears,Chicago Bears,IND,Colts,Indianapolis Colts,24,20
TerrySullivan,Bengals,30,Commanders,21,WASCIN,WAS,Commanders,Washington Commanders,CIN,Bengals,Cincinnati Bengals,21,30
PetePrisco,Bengals,29,Commanders,16,WASCIN,WAS,Commanders,Washington Commanders,CIN,Bengals,Cincinnati Bengals,16,29
BleacherReport,Bengals,34,Commanders,20,WASCIN,WAS,Commanders,Washington Commanders,CIN,Bengals,Cincinnati Bengals,20,34
BillBender,Bengals,31,Commanders,21,WASCIN,WAS,Commanders,Washington Commanders,CIN,Bengals,Cincinnati Bengals,21,31
DataSkrive,Bengals,25,Commanders,18,WASCIN,WAS,Commanders,Washington Commanders,CIN,Bengals,Cincinnati Bengals,18,25
MarcusMosher,Bengals,23,Commanders,21,WASCIN,WAS,Commanders,Washington Commanders,CIN,Bengals,Cincinnati Bengals,21,23
Jeremy Cluff,Bengals,27,Commanders,20,WASCIN,WAS,Commanders,Washington Commanders,CIN,Bengals,Cincinnati Bengals,20,27
TimCrean,Bengals,17,Commanders,5,WASCIN,WAS,Commanders,Washington Commanders,CIN,Bengals,Cincinnati Bengals,5,17
Sportsnaut,Bengals,27,Commanders,20,WASCIN,WAS,Commanders,Washington Commanders,CIN,Bengals,Cincinnati Bengals,20,27
VinnieIyer,Bengals,27,Commanders,20,WASCIN,WAS,Commanders,Washington Commanders,CIN,Bengals,Cincinnati Bengals,20,27
KahlerESPN,Bengals,28,Commanders,21,WASCIN,WAS,Commanders,Washington Commanders,CIN,Bengals,Cincinnati Bengals,21,28
