Source,Winner,Winner Score,Loser,Loser Score
TerrySullivan,Chargers,24,Texans,20
TerrySullivan,Ravens,33,Steelers,17
TerrySullivan,Bills,30,Broncos,20
TerrySullivan,Eagles,27,Packers,23
TerrySullivan,Buccaneers,30,Commanders,23
TerrySullivan,Rams,24,Vikings,23
PetePrisco,Chargers,27,Texans,20
PetePrisco,Ravens,24,Steelers,19
PetePrisco,Bills,23,Broncos,16
PetePrisco,Packers,23,Eagles,20
PetePrisco,Bucs,35,Commanders,30
PetePrisco,Rams,28,Vikings,24
BleacherReport,Chargers,26,Texans,20
BleacherReport,Ravens,27,Steelers,16
BleacherReport,Bills,30,Broncos,20
BleacherReport,Eagles,28,Packers,23
BleacherReport,Buccaneers,34,Commanders,30
BleacherReport,Rams,31,Vikings,30
BillBender,Chargers,27,Texans,20
BillBender,Ravens,23,Steelers,15
BillBender,Bills,31,Broncos,21
BillBender,Eagles,28,Packers,24
BillBender,Buccaneers,31,Commanders,26
BillBender,Rams,28,Vikings,27
DataSkrive,Ravens,36,Browns,10
DataSkrive,Steelers,27,Bengals,21
DataSkrive,Buccaneers,33,Saints,14
DataSkrive,Commanders,29,Cowboys,21
DataSkrive,Colts,27,Jaguars,19
DataSkrive,Falcons,32,Panthers,15
DataSkrive,Bills,34,Patriots,14
DataSkrive,Packers,32,Bears,11
DataSkrive,Texans,27,Titans,18
DataSkrive,Eagles,35,Giants,9
DataSkrive,Cardinals,26,49ers,20
DataSkrive,Dolphins,22,Jets,20
DataSkrive,Chargers,25,Raiders,17
DataSkrive,Rams,24,Seahawks,19
DataSkrive,Chiefs,22,Broncos,20
DataSkrive,Lions,29,Vikings,21
MarcusMosher,Chargers,27,Houston,21
MarcusMosher,Steelers,20,Ravens,19
MarcusMosher,Bills,28,Broncos,24
MarcusMosher,Eagles,28,Packers,21
MarcusMosher,Buccaneers,34,Commanders,31
MarcusMosher,Vikings,31,Rams,27
Sportsnaut,Chargers,20,Texans,13
Sportsnaut,Ravens,27,Steelers,17
Sportsnaut,Bills,31,Broncos,21
Sportsnaut,Eagles,31,Packers,24
Sportsnaut,Commanders,34,Buccaneers,31
Sportsnaut,Vikings,27,Rams,24
VinnieIyer,Eagles,24,Packers,20
VinnieIyer,Ravens,30,Steelers,17
VinnieIyer,Commanders,31,Buccaneers,27
VinnieIyer,Bills,34,Broncos,17
VinnieIyer,Chargers,27,Texans,20
VinnieIyer,Vikings,20,,17
KahlerESPN,Chargers,28,Texans,20
MoodyESPN,Chargers,27,Texans,23
WalderESPN,Chargers,20,Texans,9
KahlerESPN,Ravens,30,Steelers,24
MoodyESPN,Ravens,28,"Steelers,",19
WalderESPN,Ravens,27,Steelers,20
KahlerESPN,Bills,28,Broncos,21
MoodyESPN,Broncos,27,Bills,24
WalderESPN,Bills,28,Broncos,17
KahlerESPN,Eagles,34,Packers,28
MoodyESPN,Eagles,31,Packers,21
WalderESPN,Eagles,24,Packers,21
KahlerESPN,Commanders,33,Buccaneers,30
MoodyESPN,Commanders,34,Buccaneers,29
WalderESPN,Commanders,31,Buccaneers,26
KahlerESPN,Rams,28,Vikings,26
MoodyESPN,Rams,30,Vikings,26
WalderESPN,Vikings,24,Rams,23
Dimers,CHARGERS,23,TEXANS,20
Dimers,RAVENS,26,STEELERS,18
Dimers,BILLS,27,BRONCOS,20
Dimers,EAGLES,25,PACKERS,20
Dimers,BUCCANEERS,27,COMMANDERS,24
JarrettBell,Chargers,26,Texans,24
ChrisBumbaca,Chargers,23,Texans,19
NateDavis,Chargers,24,Texans,17
TylerDragon,Chargers,25,Texans,21
MikeMiddlehurst-Schwartz,Chargers,21,Texans,13
LorenzoReyes,Chargers,21,Texans,20
JarrettBell,Ravens,27,Steelers,23
ChrisBumbaca,Ravens,26,Steelers,23
NateDavis,Ravens,24,Steelers,17
TylerDragon,Ravens,27,Steelers,19
MikeMiddlehurst-Schwartz,Ravens,30,Steelers,16
LorenzoReyes,Ravens,26,Steelers,21
JarrettBell,Bills,21,Broncos,17
ChrisBumbaca,Bills,31,Broncos,20
NateDavis,Bills,27,Broncos,14
TylerDragon,Bills,28,Broncos,20
MikeMiddlehurst-Schwartz,Bills,28,Broncos,16
LorenzoReyes,Bills,34,Broncos,20
JarrettBell,Eagles,24,Packers,20
ChrisBumbaca,Eagles,27,Packers,21
NateDavis,Eagles,24,Packers,20
TylerDragon,Eagles,31,Packers,24
MikeMiddlehurst-Schwartz,Eagles,27,Packers,17
