SHORT NAME,GAMEID,AWAY,HOME
Packers,GBPHI,GB,PHI
Eagles,GBPHI,GB,PHI
Ravens,BALKC,BAL,KC
Chiefs,BALKC,BAL,KC
Cowboys,DALCLE,DAL,CLE
Browns,DALCLE,DAL,CLE
Jets,NYJSF,NYJ,SF
49ers,NYJSF,NYJ,SF
Panthers,CARNO,CAR,NO
Saints,CARNO,CAR,NO
Titans,TENCHI,TEN,CHI
Bears,TENCHI,TEN,CHI
Texans,HOUIND,HOU,IND
Colts,HOUIND,HOU,IND
Cardinals,ARIBUF,ARI,BUF
Bills,ARIBUF,ARI,BUF
Patriots,NECIN,NE,CIN
Pats,NECIN,NE,CIN
Bengals,NECIN,NE,CIN
Jaguars,JACMIA,JAC,MIA
Dolphins,JACMIA,JAC,MIA
Vikings,MINNYG,MIN,NYG
Giants,MINNYG,MIN,NYG
Steelers,PITATL,PIT,ATL
Falcons,PITATL,PIT,ATL
Broncos,DENSEA,DEN,SEA
Seahawks,DENSEA,DEN,SEA
Raiders,LVLAC,LV,LAC
Chargers,LVLAC,LV,LAC
Commanders,WASTB,WAS,TB
Buccaneers,WASTB,WAS,TB
Bucs,WASTB,WAS,TB
Rams,LARDET,LAR,DET
Lions,LARDET,LAR,DET
