Source,Winner,Winner Score,Loser,Loser Score
MaldonadoESPN,Lions,26,Bears,23
MoodyESPN,Lions,31,Bears,23
WalderESPN,Bears,24,Lions,20
MaldonadoESPN,Bills,22,Jets,21
MoodyESPN,Bills,36,Jets,27
WalderESPN,Bills,27,Jets,16
MaldonadoESPN,Ravens,27,Browns,14
MoodyESPN,Ravens,38,Browns,17
WalderESPN,Ravens,30,Browns,13
MaldonadoESPN,Bengals,20,Jaguars,17
MoodyESPN,Bengals,25,Jaguars,24
WalderESPN,Bengals,21,Jaguars,17
MaldonadoESPN,Steelers,23,Seahawks,17
MoodyESPN,Steelers,27,Seahawks,24
WalderESPN,Seahawks,20,Steelers,17
MaldonadoESPN,49ers,18,Saints,13
MoodyESPN,49ers,24,Saints,15
WalderESPN,49ers,19,Saints,16
MaldonadoESPN,Rams,27,Titans,13
MoodyESPN,Rams,34,Titans,17
WalderESPN,Rams,26,Titans,20
MaldonadoESPN,Cowboys,34,Giants,17
MoodyESPN,Cowboys,28,Giants,13
WalderESPN,Cowboys,27,Giants,20
MaldonadoESPN,Dolphins,23,Patriots,17
MoodyESPN,Patriots,23,Dolphins,20
WalderESPN,Patriots,26,Dolphins,13
MaldonadoESPN,Broncos,21,Colts,16
MoodyESPN,Broncos,26,"Colts,",24
WalderESPN,Broncos,23,Colts,17
MaldonadoESPN,Cardinals,30,Panthers,12
MoodyESPN,Cardinals,27,Panthers,17
WalderESPN,Cardinals,30,Panthers,20
MaldonadoESPN,Chiefs,23,Eagles,20
MoodyESPN,Eagles,27,Chiefs,26
WalderESPN,Eagles,28,Chiefs,20
MaldonadoESPN,Vikings,24,Falcons,20
MoodyESPN,Vikings,23,Falcons,20
WalderESPN,Vikings,24,Falcons,17
MaldonadoESPN,Bucs,26,Texans,24
MoodyESPN,Bucs,25,Texans,22
WalderESPN,Bucs,26,Texans,16
MaldonadoESPN,Chargers,30,Raiders,24
MoodyESPN,Chargers,24,Raiders,21
WalderESPN,Chargers,30,Raiders,30
