Source,Winner,Winner Score,Loser,Loser Score,GameID,Away,Home,AwayScore,HomeScore,Team,GameID,Away,Home,Code
TerrySullivan,Cowboys,27,Ravens,26,BALDAL,BAL,DAL,26,27,Jets,NENYJ,NE,NYJ,NYJ
PetePrisco,Ravens,27,Cowboys,24,BALDAL,BAL,DAL,27,24,Seahawks,MIASEA,MIA,SEA,SEA
BleacherReport,Cowboys,30,Ravens,28,BALDAL,BAL,DAL,28,30,Colts,CHIIND,CHI,IND,IND
BillBender,Ravens,30,Cowboys,24,BALDAL,BAL,DAL,30,24,Cowboys,BALDAL,BAL,DAL,DAL
DataSkrive,Ravens,27,Cowboys,26,BALDAL,BAL,DAL,27,26,Texans,HOUMIN,HOU,MIN,HOU
Sportsnaut,Cowboys,20,Ravens,17,BALDAL,BAL,DAL,17,20,Bills,JACBUF,JAC,BUF,BUF
VinnieIyer,Ravens,27,Cowboys,20,BALDAL,BAL,DAL,27,20,Jaguars,JACBUF,JAC,BUF,JAC
Dimers,COWBOYS,24,RAVENS,24,BALDAL,BAL,DAL,24,24,Chargers,LACPIT,LAC,PIT,LAC
TerrySullivan,Raiders,21,Panthers,16,CARLV,CAR,LV,16,21,Ravens,BALDAL,BAL,DAL,BAL
PetePrisco,Raiders,24,Panthers,10,CARLV,CAR,LV,10,24,Commanders,WASCIN,WAS,CIN,WAS
BleacherReport,Raiders,24,Panthers,20,CARLV,CAR,LV,20,24,49ers,SFLAR,SF,LAR,SF
BillBender,Raiders,28,Panthers,14,CARLV,CAR,LV,14,28,Lions,DETARI,DET,ARI,DET
DataSkrive,Raiders,29,Panthers,13,CARLV,CAR,LV,13,29,Rams,SFLAR,SF,LAR,LAR
Sportsnaut,Raiders,17,Panthers,6,CARLV,CAR,LV,6,17,Chiefs,KCATL,KC,ATL,KC
VinnieIyer,Raiders,24,Panthers,20,CARLV,CAR,LV,20,24,Steelers,LACPIT,LAC,PIT,PIT
Dimers,RAIDERS,23,PANTHERS,18,CARLV,CAR,LV,18,23,Eagles,PHINO,PHI,NO,PHI
TerrySullivan,Bears,21,Colts,17,CHIIND,CHI,IND,21,17,Titans,GBTEN,GB,TEN,TEN
PetePrisco,Colts,23,Bears,20,CHIIND,CHI,IND,20,23,Patriots,NENYJ,NE,NYJ,NE
BleacherReport,Bears,23,Colts,20,CHIIND,CHI,IND,23,20,Packers,GBTEN,GB,TEN,GB
BillBender,Colts,20,Bears,17,CHIIND,CHI,IND,17,20,Saints,PHINO,PHI,NO,NO
DataSkrive,Colts,21,Bears,18,CHIIND,CHI,IND,18,21,Bears,CHIIND,CHI,IND,CHI
Sportsnaut,Bears,27,Colts,17,CHIIND,CHI,IND,27,17,Dolphins,MIASEA,MIA,SEA,MIA
VinnieIyer,Bears,24,Colts,20,CHIIND,CHI,IND,24,20,Browns,NYGCLE,NYG,CLE,CLE
Dimers,COLTS,22,BEARS,21,CHIIND,CHI,IND,21,22,Panthers,CARLV,CAR,LV,CAR
TerrySullivan,Buccaneers,28,Broncos,16,DENTB,DEN,TB,16,28,Raiders,CARLV,CAR,LV,LV
BleacherReport,Buccaneers,22,Broncos,12,DENTB,DEN,TB,12,22,Giants,NYGCLE,NYG,CLE,NYG
BillBender,Buccaneers,27,Broncos,17,DENTB,DEN,TB,17,27,Vikings,HOUMIN,HOU,MIN,MIN
DataSkrive,Broncos,23,Buccaneers,17,DENTB,DEN,TB,23,17,Buccaneers,DENTB,DEN,TB,TB
Sportsnaut,Buccaneers,27,Broncos,17,DENTB,DEN,TB,17,27,Cardinals,DETARI,DET,ARI,ARI
VinnieIyer,Buccaneers,27,Buccaneers,10,DENTB,DEN,TB,10,27,Bengals,WASCIN,WAS,CIN,CIN
Dimers,BUCCANEERS,24,BRONCOS,18,DENTB,DEN,TB,18,24,Broncos,DENTB,DEN,TB,DEN
TerrySullivan,Lions,24,Cardinals,20,DETARI,DET,ARI,24,20,Falcons,KCATL,KC,ATL,ATL
PetePrisco,Cardinals,31,Lions,29,DETARI,DET,ARI,29,31,Pats,NENYJ,NE,NYJ,NE
BleacherReport,Lions,35,Cardinals,31,DETARI,DET,ARI,35,31,Bucs,DENTB,DEN,TB,TB
BillBender,Lions,23,Cardinals,18,DETARI,DET,ARI,23,18,,,,,
DataSkrive,Cardinals,29,Lions,19,DETARI,DET,ARI,19,29,,,,,
Sportsnaut,Lions,34,Cardinals,31,DETARI,DET,ARI,34,31,,,,,
VinnieIyer,Lions,30,Cardinals,27,DETARI,DET,ARI,30,27,,,,,
Dimers,LIONS,27,CARDINALS,25,DETARI,DET,ARI,27,25,,,,,
TerrySullivan,Packers,20,Titans,17,GBTEN,GB,TEN,20,17,,,,,
PetePrisco,Titans,21,Packers,17,GBTEN,GB,TEN,17,21,,,,,
BleacherReport,Packers,18,Titans,16,GBTEN,GB,TEN,18,16,,,,,
BillBender,Packers,21,Titans,16,GBTEN,GB,TEN,21,16,,,,,
DataSkrive,Packers,26,Titans,17,GBTEN,GB,TEN,26,17,,,,,
