Source,Winner,Winner Score,Loser,Loser Score,GameID,Away,Home,AwayScore,HomeScore
TerrySullivan,Texans,30,Patriots,13,HOUNE,HOU,NE,30,13
TerrySullivan,Broncos,21,Chargers,17,LACDEN,LAC,DEN,17,21
TerrySullivan,Bears,24,Jaguars,20,JACCHI,JAC,CHI,20,24
TerrySullivan,Lions,30,Cowboys,24,DETDAL,DET,DAL,30,24
TerrySullivan,Buccaneers,23,Saints,17,TBNO,TB,NO,23,17
TerrySullivan,49ers,27,Seahawks,23,SFSEA,SF,SEA,27,23
TerrySullivan,Packers,30,Cardinals,21,ARIGB,ARI,GB,21,30
TerrySullivan,Titans,23,Colts,20,INDTEN,IND,TEN,20,23
TerrySullivan,Eagles,33,Browns,23,CLEPHI,CLE,PHI,23,33
TerrySullivan,Ravens,30,Commanders,27,WASBAL,WAS,BAL,27,30
TerrySullivan,Steelers,23,Raiders,17,PITLV,PIT,LV,23,17
TerrySullivan,Falcons,27,Panthers,17,ATLCAR,ATL,CAR,27,17
TerrySullivan,Bengals,27,Giants,23,CINNYG,CIN,NYG,27,23
TerrySullivan,Jets,23,Bills,21,BUFNYJ,BUF,NYJ,21,23
PetePrisco,49ers,30,Seahawks,20,SFSEA,SF,SEA,30,20
PetePrisco,Jaguars,30,Bears,27,JACCHI,JAC,CHI,30,27
PetePrisco,Ravens,31,Commanders,29,WASBAL,WAS,BAL,29,31
PetePrisco,Packers,33,Cardinals,21,ARIGB,ARI,GB,21,33
PetePrisco,Texans,21,Pats,17,HOUNE,HOU,NE,21,17
PetePrisco,Bucs,26,Saints,17,TBNO,TB,NO,26,17
PetePrisco,Titans,27,Colts,20,INDTEN,IND,TEN,20,27
PetePrisco,Eagles,28,Browns,17,CLEPHI,CLE,PHI,17,28
PetePrisco,Chargers,21,Broncos,17,LACDEN,LAC,DEN,21,17
PetePrisco,Steelers,21,Raiders,13,PITLV,PIT,LV,21,13
PetePrisco,Falcons,35,Panthers,19,ATLCAR,ATL,CAR,35,19
PetePrisco,Lions,33,Cowboys,32,DETDAL,DET,DAL,33,32
PetePrisco,Bengals,34,Giants,28,CINNYG,CIN,NYG,34,28
PetePrisco,Bills,20,Jets,17,BUFNYJ,BUF,NYJ,20,17
BleacherReport,49ers,27,Seahawks,23,SFSEA,SF,SEA,27,23
BleacherReport,Bears,24,Jaguars,19,JACCHI,JAC,CHI,19,24
BleacherReport,Texans,21,Patriots,13,HOUNE,HOU,NE,21,13
BleacherReport,Ravens,28,Commanders,26,WASBAL,WAS,BAL,26,28
BleacherReport,Eagles,27,Browns,16,CLEPHI,CLE,PHI,16,27
BleacherReport,Packers,30,Cardinals,20,ARIGB,ARI,GB,20,30
BleacherReport,Colts,23,Titans,21,INDTEN,IND,TEN,23,21
BleacherReport,Buccaneers,23,Saints,17,TBNO,TB,NO,23,17
BleacherReport,Broncos,20,Chargers,16,LACDEN,LAC,DEN,16,20
BleacherReport,Steelers,19,Raiders,14,PITLV,PIT,LV,19,14
BleacherReport,Lions,34,Cowboys,26,DETDAL,DET,DAL,34,26
BleacherReport,Falcons,31,Panthers,21,ATLCAR,ATL,CAR,31,21
BleacherReport,Bengals,30,Giants,23,CINNYG,CIN,NYG,30,23
BleacherReport,Bills,22,Jets,18,BUFNYJ,BUF,NYJ,22,18
BillBender,49ers,24,Seahawks,20,SFSEA,SF,SEA,24,20
BillBender,Bears,29,Jaguars,24,JACCHI,JAC,CHI,24,29
BillBender,Packers,28,Cardinals,21,ARIGB,ARI,GB,21,28
BillBender,Colts,30,Titans,27,INDTEN,IND,TEN,30,27
BillBender,Texans,23,Patriots,17,HOUNE,HOU,NE,23,17
BillBender,Buccaneers,24,Saints,21,TBNO,TB,NO,24,21
BillBender,Eagles,27,Browns,19,CLEPHI,CLE,PHI,19,27
BillBender,Ravens,28,Commanders,24,WASBAL,WAS,BAL,24,28
BillBender,Broncos,19,Chargers,16,LACDEN,LAC,DEN,16,19
BillBender,Steelers,20,Raiders,14,PITLV,PIT,LV,20,14
BillBender,Lions,30,Cowboys,20,DETDAL,DET,DAL,30,20
BillBender,Falcons,31,Panthers,21,ATLCAR,ATL,CAR,31,21
BillBender,Bengals,27,Giants,21,CINNYG,CIN,NYG,27,21
BillBender,Bills,24,Jets,23,BUFNYJ,BUF,NYJ,24,23
DataSkrive,Seahawks,24,49ers,23,SFSEA,SF,SEA,23,24
DataSkrive,Bears,29,Jaguars,15,JACCHI,JAC,CHI,15,29
DataSkrive,Eagles,31,Browns,11,CLEPHI,CLE,PHI,11,31
DataSkrive,Texans,24,Patriots,14,HOUNE,HOU,NE,24,14
DataSkrive,Colts,23,Titans,22,INDTEN,IND,TEN,23,22
DataSkrive,Saints,25,Buccaneers,24,TBNO,TB,NO,24,25
DataSkrive,Packers,29,Cardinals,19,ARIGB,ARI,GB,19,29
DataSkrive,Commanders,28,Ravens,27,WASBAL,WAS,BAL,28,27
DataSkrive,Broncos,19,Chargers,13,LACDEN,LAC,DEN,13,19
DataSkrive,Steelers,24,Raiders,15,PITLV,PIT,LV,24,15
DataSkrive,Falcons,32,Panthers,15,ATLCAR,ATL,CAR,32,15
DataSkrive,Cowboys,25,Lions,22,DETDAL,DET,DAL,22,25
DataSkrive,Giants,27,Bengals,21,CINNYG,CIN,NYG,21,27
DataSkrive,Jets,23,Bills,20,BUFNYJ,BUF,NYJ,20,23
MarcusMosher,49ers,31,Seahawks,24,SFSEA,SF,SEA,31,24
MarcusMosher,Jaguars,26,Bears,23,JACCHI,JAC,CHI,26,23
MarcusMosher,Buccaneers,24,Saints,20,TBNO,TB,NO,24,20
MarcusMosher,Titans,24,Colts,20,INDTEN,IND,TEN,20,24
MarcusMosher,Ravens,31,Commanders,28,WASBAL,WAS,BAL,28,31
MarcusMosher,Eagles,31,Browns,17,CLEPHI,CLE,PHI,17,31
MarcusMosher,Texans,21,Patriots,13,HOUNE,HOU,NE,21,13
MarcusMosher,Packers,31,Cardinals,24,ARIGB,ARI,GB,24,31
MarcusMosher,Steelers,23,Raiders,16,PITLV,PIT,LV,23,16
MarcusMosher,Broncos,17,Chargers,14,LACDEN,LAC,DEN,14,17
MarcusMosher,Falcons,27,Panthers,17,ATLCAR,ATL,CAR,27,17
MarcusMosher,Lions,34,Cowboys,27,DETDAL,DET,DAL,34,27
MarcusMosher,Giants,24,Bengals,23,CINNYG,CIN,NYG,23,24
MarcusMosher,Jets,20,Bills,17,BUFNYJ,BUF,NYJ,17,20
Sportsnaut,49ers,27,Seahawks,21,SFSEA,SF,SEA,27,21
Sportsnaut,Bears,28,Jaguars,29,JACCHI,JAC,CHI,29,28
Sportsnaut,Packers,27,Cardinals,17,ARIGB,ARI,GB,17,27
Sportsnaut,Colts,16,Titans,13,INDTEN,IND,TEN,16,13
Sportsnaut,Texans,27,Patriots,10,HOUNE,HOU,NE,27,10
Sportsnaut,Buccaneers,24,Saints,21,TBNO,TB,NO,24,21
Sportsnaut,Eagles,31,Browns,17,CLEPHI,CLE,PHI,17,31
Sportsnaut,Ravens,38,Commanders,31,WASBAL,WAS,BAL,31,38
