Source,Winner,Winner Score,Loser,Loser Score,GameID,Away Code,Away Short Name,Away Full Name,Home Code,Home Short Name,Home Full Name,AwayScore,HomeScore
TerrySullivan,Cardinals,24,Bears,21,CHIARI,CHI,Bears,Chicago Bears,ARI,Cardinals,Arizona Cardinals,21,24
PetePrisco,Cardinals,24,Bears,17,CHIARI,CHI,Bears,Chicago Bears,ARI,Cardinals,Arizona Cardinals,17,24
BleacherReport,Bears,24,Cardinals,21,CHIARI,CHI,Bears,Chicago Bears,ARI,Cardinals,Arizona Cardinals,24,21
BillBender,Cardinals,20,Bears,17,CHIARI,CHI,Bears,Chicago Bears,ARI,Cardinals,Arizona Cardinals,17,20
DataSkrive,Cardinals,24,Bears,20,CHIARI,CHI,Bears,Chicago Bears,ARI,Cardinals,Arizona Cardinals,20,24
MarcusMosher,Bears,26,Cardinals,24,CHIARI,CHI,Bears,Chicago Bears,ARI,Cardinals,Arizona Cardinals,26,24
Sportsnaut,Bears,24,Cardinals,17,CHIARI,CHI,Bears,Chicago Bears,ARI,Cardinals,Arizona Cardinals,24,17
VinnieIyer,Bears,23,Cardinals,20,CHIARI,CHI,Bears,Chicago Bears,ARI,Cardinals,Arizona Cardinals,23,20
Dimers,CARDINALS,23,BEARS,22,CHIARI,CHI,Bears,Chicago Bears,ARI,Cardinals,Arizona Cardinals,22,23
LorenzoReyes,Cardinals,25,Bears,20,CHIARI,CHI,Bears,Chicago Bears,ARI,Cardinals,Arizona Cardinals,20,25
TylerDragon,Cardinals,21,Bears,18,CHIARI,CHI,Bears,Chicago Bears,ARI,Cardinals,Arizona Cardinals,18,21
RichardMorin,Bears,35,Cardinals,26,CHIARI,CHI,Bears,Chicago Bears,ARI,Cardinals,Arizona Cardinals,35,26
JordanMendoza,Bears,23,Cardinals,21,CHIARI,CHI,Bears,Chicago Bears,ARI,Cardinals,Arizona Cardinals,23,21
JohnBreech,Cardinals,22,Bears,19,CHIARI,CHI,Bears,Chicago Bears,ARI,Cardinals,Arizona Cardinals,19,22
TerrySullivan,Falcons,30,Cowboys,24,DALATL,DAL,Cowboys,Dallas Cowboys,ATL,Falcons,Atlanta Falcons,24,30
PetePrisco,Falcons,33,Cowboys,32,DALATL,DAL,Cowboys,Dallas Cowboys,ATL,Falcons,Atlanta Falcons,32,33
BleacherReport,Cowboys,27,Falcons,24,DALATL,DAL,Cowboys,Dallas Cowboys,ATL,Falcons,Atlanta Falcons,27,24
BillBender,Cowboys,34,Falcons,31,DALATL,DAL,Cowboys,Dallas Cowboys,ATL,Falcons,Atlanta Falcons,34,31
DataSkrive,Falcons,30,Cowboys,20,DALATL,DAL,Cowboys,Dallas Cowboys,ATL,Falcons,Atlanta Falcons,20,30
MarcusMosher,Falcons,31,Cowboys,23,DALATL,DAL,Cowboys,Dallas Cowboys,ATL,Falcons,Atlanta Falcons,23,31
Sportsnaut,Falcons,31,Cowboys,27,DALATL,DAL,Cowboys,Dallas Cowboys,ATL,Falcons,Atlanta Falcons,27,31
VinnieIyer,Cowboys,30,Falcons,27,DALATL,DAL,Cowboys,Dallas Cowboys,ATL,Falcons,Atlanta Falcons,30,27
Dimers,FALCONS,27,COWBOYS,24,DALATL,DAL,Cowboys,Dallas Cowboys,ATL,Falcons,Atlanta Falcons,24,27
LorenzoReyes,Falcons,24,Cowboys,20,DALATL,DAL,Cowboys,Dallas Cowboys,ATL,Falcons,Atlanta Falcons,20,24
TylerDragon,Falcons,26,Cowboys,21,DALATL,DAL,Cowboys,Dallas Cowboys,ATL,Falcons,Atlanta Falcons,21,26
RichardMorin,Falcons,26,Cowboys,23,DALATL,DAL,Cowboys,Dallas Cowboys,ATL,Falcons,Atlanta Falcons,23,26
JordanMendoza,Falcons,28,Cowboys,23,DALATL,DAL,Cowboys,Dallas Cowboys,ATL,Falcons,Atlanta Falcons,23,28
JohnBreech,Falcons,27,Cowboys,24,DALATL,DAL,Cowboys,Dallas Cowboys,ATL,Falcons,Atlanta Falcons,24,27
TerrySullivan,Ravens,27,Broncos,20,DENBAL,DEN,Broncos,Denver Broncos,BAL,Ravens,Baltimore Ravens,20,27
PetePrisco,Ravens,27,Broncos,17,DENBAL,DEN,Broncos,Denver Broncos,BAL,Ravens,Baltimore Ravens,17,27
BleacherReport,Ravens,30,Broncos,20,DENBAL,DEN,Broncos,Denver Broncos,BAL,Ravens,Baltimore Ravens,20,30
BillBender,Ravens,28,Broncos,20,DENBAL,DEN,Broncos,Denver Broncos,BAL,Ravens,Baltimore Ravens,20,28
DataSkrive,Ravens,25,Broncos,22,DENBAL,DEN,Broncos,Denver Broncos,BAL,Ravens,Baltimore Ravens,22,25
MarcusMosher,Ravens,23,Broncos,20,DENBAL,DEN,Broncos,Denver Broncos,BAL,Ravens,Baltimore Ravens,20,23
Sportsnaut,Ravens,23,Broncos,20,DENBAL,DEN,Broncos,Denver Broncos,BAL,Ravens,Baltimore Ravens,20,23
VinnieIyer,Ravens,26,Broncos,23,DENBAL,DEN,Broncos,Denver Broncos,BAL,Ravens,Baltimore Ravens,23,26
Dimers,RAVENS,28,BRONCOS,19,DENBAL,DEN,Broncos,Denver Broncos,BAL,Ravens,Baltimore Ravens,19,28
LorenzoReyes,Ravens,25,Broncos,17,DENBAL,DEN,Broncos,Denver Broncos,BAL,Ravens,Baltimore Ravens,17,25
TylerDragon,Ravens,30,Broncos,20,DENBAL,DEN,Broncos,Denver Broncos,BAL,Ravens,Baltimore Ravens,20,30
RichardMorin,Broncos,32,Ravens,28,DENBAL,DEN,Broncos,Denver Broncos,BAL,Ravens,Baltimore Ravens,32,28
JordanMendoza,Ravens,23,Broncos,17,DENBAL,DEN,Broncos,Denver Broncos,BAL,Ravens,Baltimore Ravens,17,23
JohnBreech,Ravens,24,Broncos,16,DENBAL,DEN,Broncos,Denver Broncos,BAL,Ravens,Baltimore Ravens,16,24
TerrySullivan,Lions,27,Packers,23,DETGB,DET,Lions,Detroit Lions,GB,Packers,Green Bay Packers,27,23
PetePrisco,Lions,29,Packers,23,DETGB,DET,Lions,Detroit Lions,GB,Packers,Green Bay Packers,29,23
BleacherReport,Lions,30,Packers,24,DETGB,DET,Lions,Detroit Lions,GB,Packers,Green Bay Packers,30,24
BillBender,Lions,31,Packers,26,DETGB,DET,Lions,Detroit Lions,GB,Packers,Green Bay Packers,31,26
DataSkrive,Lions,26,Packers,25,DETGB,DET,Lions,Detroit Lions,GB,Packers,Green Bay Packers,26,25
MarcusMosher,Lions,27,Packers,23,DETGB,DET,Lions,Detroit Lions,GB,Packers,Green Bay Packers,27,23
Sportsnaut,Lions,30,Packers,21,DETGB,DET,Lions,Detroit Lions,GB,Packers,Green Bay Packers,30,21
VinnieIyer,Lions,30,Packers,23,DETGB,DET,Lions,Detroit Lions,GB,Packers,Green Bay Packers,30,23
Dimers,LIONS,25,PACKERS,24,DETGB,DET,Lions,Detroit Lions,GB,Packers,Green Bay Packers,25,24
LorenzoReyes,Lions,31,Packers,23,DETGB,DET,Lions,Detroit Lions,GB,Packers,Green Bay Packers,31,23
TylerDragon,Lions,27,Packers,25,DETGB,DET,Lions,Detroit Lions,GB,Packers,Green Bay Packers,27,25
RichardMorin,Packers,26,Lions,22,DETGB,DET,Lions,Detroit Lions,GB,Packers,Green Bay Packers,22,26
JordanMendoza,Lions,32,Packers,30,DETGB,DET,Lions,Detroit Lions,GB,Packers,Green Bay Packers,32,30
JohnBreech,Lions,30,Packers,23,DETGB,DET,Lions,Detroit Lions,GB,Packers,Green Bay Packers,30,23
TerrySullivan,Texans,23,Jets,21,HOUNYJ,HOU,Texans,Houston Texans,NYJ,Jets,New York Jets,23,21
PetePrisco,Jets,31,Texans,23,HOUNYJ,HOU,Texans,Houston Texans,NYJ,Jets,New York Jets,23,31
BleacherReport,Texans,23,Jets,21,HOUNYJ,HOU,Texans,Houston Texans,NYJ,Jets,New York Jets,23,21
BillBender,Texans,24,Jets,17,HOUNYJ,HOU,Texans,Houston Texans,NYJ,Jets,New York Jets,24,17
DataSkrive,Texans,25,Jets,18,HOUNYJ,HOU,Texans,Houston Texans,NYJ,Jets,New York Jets,25,18
MarcusMosher,Texans,20,Jets,16,HOUNYJ,HOU,Texans,Houston Texans,NYJ,Jets,New York Jets,20,16
Sportsnaut,Texans,23,Jets,17,HOUNYJ,HOU,Texans,Houston Texans,NYJ,Jets,New York Jets,23,17
VinnieIyer,Texans,23,Jets,20,HOUNYJ,HOU,Texans,Houston Texans,NYJ,Jets,New York Jets,23,20
Dimers,JETS,21,TEXANS,21,HOUNYJ,HOU,Texans,Houston Texans,NYJ,Jets,New York Jets,21,21
LorenzoReyes,Texans,21,Jets,17,HOUNYJ,HOU,Texans,Houston Texans,NYJ,Jets,New York Jets,21,17
TylerDragon,Texans,24,Jets,23,HOUNYJ,HOU,Texans,Houston Texans,NYJ,Jets,New York Jets,24,23
