SHORT NAME,GAMEID,AWAY,HOME,GAMEINT,SPREAD,TOTAL
49ers,TENSF,TEN,SF,4765884,-13.5,44.5
Bears,CLECHI,CLE,CHI,4765877,-7.5,39
Bengals,BALCIN,BAL,CIN,4765878,2.5,51.5
Bills,BUFNE,BUF,NE,4765880,1,49
Broncos,GBDEN,GB,DEN,4765885,2,43
Browns,CLECHI,CLE,CHI,4765877,-7.5,39
Buccaneers,ATLTB,ATL,TB,4765874,-4.5,44
Bucs,ATLTB,ATL,TB,4765874,-4.5,44
Cardinals,ARIHOU,ARI,HOU,4765879,-10,42
Chargers,LACKC,LAC,KC,4765882,-5,41.5
Chiefs,LACKC,LAC,KC,4765882,-5,41.5
Colts,INDSEA,IND,SEA,4765883,-14,42
Commanders,WASNYG,WAS,NYG,4765875,-2.5,47
Cowboys,MINDAL,MIN,DAL,4765888,-5,47.5
Dolphins,MIAPIT,MIA,PIT,4765889,-3.5,41.5
Eagles,LVPHI,LV,PHI,4765876,-13,37.5
Falcons,ATLTB,ATL,TB,4765874,-4.5,44
Giants,WASNYG,WAS,NYG,4765875,-2.5,47
Jaguars,NYJJAX,NYJ,JAX,4765881,-13,41.5
Jets,NYJJAX,NYJ,JAX,4765881,-13,41.5
Lions,DETLAR,DET,LAR,4765887,-6.5,55
Packers,GBDEN,GB,DEN,4765885,2,43
Panthers,CARNO,CAR,NO,4765886,2.5,40
Patriots,BUFNE,BUF,NE,4765880,1,49
Pats,BUFNE,BUF,NE,4765880,1,49
Raiders,LVPHI,LV,PHI,4765876,-13,37.5
Rams,DETLAR,DET,LAR,4765887,-6.5,55
Ravens,BALCIN,BAL,CIN,4765878,2.5,51.5
Saints,CARNO,CAR,NO,4765886,2.5,40
Seahawks,INDSEA,IND,SEA,4765883,-14,42
Steelers,MIAPIT,MIA,PIT,4765889,-3.5,41.5
Texans,ARIHOU,ARI,HOU,4765879,-10,42
Titans,TENSF,TEN,SF,4765884,-13.5,44.5
Vikings,MINDAL,MIN,DAL,4765888,-5,47.5
,,,,,,
,,,,,,
GameIds,"[4765874, 4765875, 4765876, 4765877, 4765878, 4765879, 4765880, 4765881, 4765882, 4765883, 4765884, 4765885, 4765886, 4765887, 4765888, 4765889]",,,,,
