Source,Winner,Winner Score,Loser,Loser Score
TylerSullivan,Patriots,23,Raiders,21
TylerSullivan,Jets,23,Steelers,20
TylerSullivan,Cardinals,23,Saints,16
TylerSullivan,Bears,24,Vikings,23
TylerSullivan,Eagles,33,Cowboys,24
TylerSullivan,Chiefs,24,Chargers,20
TylerSullivan,Jaguars,27,Panthers,20
TylerSullivan,Bengals,30,Browns,19
TylerSullivan,Dolphins,26,Colts,23
TylerSullivan,Commanders,30,Giants,20
TylerSullivan,Buccaneers,27,Falcons,23
TylerSullivan,Seahawks,24,49ers,21
TylerSullivan,Lions,27,Packers,23
TylerSullivan,Rams,23,Texans,21
TylerSullivan,Ravens,27,Bills,24
PetePrisco,Eagles,27,Cowboys,24
PetePrisco,Chiefs,30,Chargers,21
PetePrisco,Bucs,28,Falcons,24
PetePrisco,Bengals,30,Browns,27
PetePrisco,Colts,33,Dolphins,30
PetePrisco,Jaguars,27,Panthers,21
PetePrisco,Cardinals,23,Saints,20
PetePrisco,Jets,20,Steelers,16
PetePrisco,Commanders,26,Giants,23
PetePrisco,Broncos,26,Titans,13
PetePrisco,49ers,23,Seahawks,17
PetePrisco,Packers,35,Lions,30
PetePrisco,Rams,23,Texans,17
PetePrisco,Bills,34,Ravens,31
PetePrisco,Bears,27,Vikings,21
BillBender,Eagles,28,Cowboys,23
BillBender,Chiefs,24,Chargers,20
BillBender,Buccaneers,30,Falcons,20
BillBender,Bengals,31,Browns,21
BillBender,Dolphins,21,Colts,19
BillBender,Patriots,20,Raiders,18
BillBender,Cardinals,26,Saints,21
BillBender,Steelers,28,Jets,19
BillBender,Commanders,28,Giants,17
BillBender,Jaguars,28,Panthers,18
BillBender,Broncos,27,Titans,13
BillBender,49ers,28,Seahawks,21
BillBender,Lions,30,Packers,25
BillBender,Rams,24,Texans,21
BillBender,Bills,31,Ravens,28
BillBender,Bears,22,Vikings,20
DataSkrive,Eagles,34,Cowboys,12
DataSkrive,Chiefs,21,Chargers,20
DataSkrive,Bengals,28,Browns,19
DataSkrive,Cardinals,26,Saints,19
DataSkrive,Steelers,24,Jets,19
DataSkrive,Jaguars,28,Panthers,20
DataSkrive,Commanders,33,Giants,14
DataSkrive,Colts,23,Dolphins,21
DataSkrive,Patriots,22,Raiders,21
DataSkrive,Buccaneers,28,Falcons,22
DataSkrive,Seahawks,27,49ers,19
DataSkrive,Broncos,33,Titans,11
DataSkrive,Rams,25,Texans,19
DataSkrive,Lions,27,Packers,24
DataSkrive,Bills,27,Ravens,25
DataSkrive,Vikings,26,Bears,16
TimCrean,Eagles,24,Cowboys,20
TimCrean,Chargers,28,Chiefs,27
TimCrean,Commanders,16,Giants,13
TimCrean,Jaguars,21,Panthers,17
TimCrean,Steelers,16,Jets,10
TimCrean,Raiders,20,Patriots,17
TimCrean,Cardinals,35,Saints,13
TimCrean,Bengals,31,Browns,9
TimCrean,Dolphins,24,Colts,10
TimCrean,Falcons,23,Buccaneers,22
TimCrean,Broncos,27,Titans,12
TimCrean,Seahawks,16,49ers,14
TimCrean,Packers,28,Lions,21
TimCrean,Texans,28,Rams,24
TimCrean,Bills,35,Ravens,34
TimCrean,Bears,23,Bears,18
Sportsnaut,Eagles,31,Cowboys,17
Sportsnaut,Chiefs,23,Chargers,16
Sportsnaut,Buccaneers,28,Falcons,24
Sportsnaut,Bengals,24,Browns,13
Sportsnaut,Dolphins,24,Colts,17
Sportsnaut,Patriots,27,Raiders,24
Sportsnaut,Cardinals,31,Saints,20
Sportsnaut,Steelers,20,Jets,16
Sportsnaut,Commanders,24,Giants,14
Sportsnaut,Jaguars,31,Panthers,28
Sportsnaut,Broncos,27,Titans,10
Sportsnaut,49ers,21,Seahawks,17
Sportsnaut,Packers,27,Lions,23
Sportsnaut,Rams,24,Texans,20
Sportsnaut,Ravens,28,Bills,24
Sportsnaut,Vikings,20,Bears,13
VinnieIyer,Eagles,31,Cowboys,14
VinnieIyer,Chiefs,23,Brazil),16
VinnieIyer,Bills,27,Ravens,24
VinnieIyer,Rams,24,Texans,17
VinnieIyer,Lions,27,Packers,2
VinnieIyer,Buccaneers,27,Falcons,24
VinnieIyer,Bengals,24,Browns,20
VinnieIyer,Colts,23,Dolphins,20
VinnieIyer,Patriots,24,Raiders,20
VinnieIyer,Cardinals,23,Saints,20
VinnieIyer,Steelers,27,Jets,14
VinnieIyer,Commanders,30,Giants,20
VinnieIyer,Jaguars,30,Panthers,27
VinnieIyer,Broncos,24,Titans,13
VinnieIyer,49ers,27,Seahawks,20
VinnieIyer,Bears,24,Vikings,21
Dimers,EAGLES,27,COWBOYS,20
Dimers,CHIEFS,24,CHARGERS,22
Dimers,BUCCANEERS,24,FALCONS,22
Dimers,STEELERS,20,JETS,18
Dimers,COLTS,24,DOLPHINS,22
Dimers,JAGUARS,24,PANTHERS,22
Dimers,COMMANDERS,26,GIANTS,20
