SHORT NAME,GAMEID,AWAY,HOME,GameInt,Spread,Total
49ers,SFNO,SF,NO,4765698,3.5,40.5
Bears,CHIDET,CHI,DET,4765695,-6.5,46.5
Bengals,JACCIN,JAC,CIN,4765700,-3.5,49.5
Bills,BUFNYJ,BUF,NYJ,4765694,6.5,47.5
Broncos,DENIND,DEN,IND,4765702,2.5,43
Browns,CLEBAL,CLE,BAL,4765697,-11.5,44.5
Buccaneers,TBHOU,TB,HOU,4765705,-2.5,42.5
Bucs,TBHOU,TB,HOU,4765705,-2.5,42.5
Cardinals,CARARI,CAR,ARI,4765701,-7,44.5
Chargers,LACLV,LAC,LV,4765706,3.5,46
Chiefs,PHIKC,PHI,KC,4765703,1,46.5
Colts,DENIND,DEN,IND,4765702,2.5,43
Commanders,WASGB,WAS,GB,4765691,-3.5,49
Cowboys,NYGDAL,NYG,DAL,4765696,-5.5,44.5
Dolphins,NEMIA,NE,MIA,4765699,-1,43
Eagles,PHIKC,PHI,KC,4765703,1,46.5
Falcons,ATLMIN,ATL,MIN,4765704,-3.5,44.5
Giants,NYGDAL,NYG,DAL,4765696,-5.5,44.5
Jaguars,JACCIN,JAC,CIN,4765700,-3.5,49.5
Jets,BUFNYJ,BUF,NYJ,4765694,6.5,47.5
Lions,CHIDET,CHI,DET,4765695,-6.5,46.5
Packers,WASGB,WAS,GB,4765691,-3.5,49
Panthers,CARARI,CAR,ARI,4765701,-7,44.5
Patriots,NEMIA,NE,MIA,4765699,-1,43
Pats,NEMIA,NE,MIA,4765699,-1,43
Raiders,LACLV,LAC,LV,4765706,3.5,46
Rams,LARTEN,LAR,TEN,4765692,5.5,41
Ravens,CLEBAL,CLE,BAL,4765697,-11.5,44.5
Saints,SFNO,SF,NO,4765698,3.5,40.5
Seahawks,SEAPIT,SEA,PIT,4765693,-3,40.5
Steelers,SEAPIT,SEA,PIT,4765693,-3,40.5
Texans,TBHOU,TB,HOU,4765705,-2.5,42.5
Titans,LARTEN,LAR,TEN,4765692,5.5,41
Vikings,ATLMIN,ATL,MIN,4765704,-3.5,44.5
