SHORT NAME,GAMEID,AWAY,HOME,GAMEID,SPREAD,TOTAL
49ers,ARISF,ARI,SF,4765719,-3,44.5
Bears,DALCHI,DAL,CHI,4765720,1,50.5
Bengals,CINMIN,CIN,MIN,4765714,-3,42
Bills,MIABUF,MIA,BUF,4765707,-11.5,50.5
Broncos,DENLAC,DEN,LAC,4765717,-3,46
Browns,GBCLE,GB,CLE,4765716,7,41.5
Buccaneers,NYJTB,NYJ,TB,4765710,-6.5,43.5
Bucs,NYJTB,NYJ,TB,4765710,-6.5,43.5
Cardinals,ARISF,ARI,SF,4765719,-3,44.5
Chargers,DENLAC,DEN,LAC,4765717,-3,46
Chiefs,KCNYG,KC,NYG,4765721,6,45
Colts,INDTEN,IND,TEN,4765708,4,43.5
Commanders,LVWAS,LV,WAS,4765711,-3.5,44
Cowboys,DALCHI,DAL,CHI,4765720,1,50.5
Dolphins,MIABUF,MIA,BUF,4765707,-11.5,50.5
Eagles,LARPHI,LAR,PHI,4765712,-3,44.5
Falcons,ATLCAR,ATL,CAR,4765713,5.5,44
Giants,KCNYG,KC,NYG,4765721,6,45
Jaguars,HOUJAC,HOU,JAC,4765715,-1.5,44
Jets,NYJTB,NYJ,TB,4765710,-6.5,43.5
Lions,DETBAL,DET,BAL,4765722,-4.5,53
Packers,GBCLE,GB,CLE,4765716,7,41.5
Panthers,ATLCAR,ATL,CAR,4765713,5.5,44
Patriots,PITNE,PIT,NE,4765709,1.5,44.5
Pats,PITNE,PIT,NE,4765709,1.5,44.5
Raiders,LVWAS,LV,WAS,4765711,-3.5,44
Rams,LARPHI,LAR,PHI,4765712,-3,44.5
Ravens,DETBAL,DET,BAL,4765722,-4.5,53
Saints,NOSEA,NO,SEA,4765718,-7,42
Seahawks,NOSEA,NO,SEA,4765718,-7,42
Steelers,PITNE,PIT,NE,4765709,1.5,44.5
Texans,HOUJAC,HOU,JAC,4765715,-1.5,44
Titans,INDTEN,IND,TEN,4765708,4,43.5
Vikings,CINMIN,CIN,MIN,4765714,-3,42
