Source,Winner,Winner Score,Loser,Loser Score,GameID,GameIDInt,Away Code,Away Short Name,Away Full Name,Home Code,Home Short Name,Home Full Name,AwayScore,HomeScore,Spread,Total
AliNFL,Bills,33,Dolphins,20,MIABUF,4765707,MIA,Dolphins,Miami Dolphins,BUF,Bills,Buffalo Bills,20,33,-11.5,50.5
AliNFL,Colts,21,Titans,18,INDTEN,4765708,IND,Colts,Indianapolis Colts,TEN,Titans,Tennessee Titans,21,18,4,43.5
AliNFL,Patriots,20,Steelers,19,PITNE,4765709,PIT,Steelers,Pittsburgh Steelers,NE,Patriots,New England Patriots,19,20,1.5,44.5
AliNFL,Buccaneers,22,Jets,16,NYJTB,4765710,NYJ,Jets,New York Jets,TB,Buccaneers,Tampa Bay Buccaneers,16,22,-6.5,43.5
AliNFL,Commanders,21,Raiders,20,LVWAS,4765711,LV,Raiders,Las Vegas Raiders,WAS,Commanders,Washington Commanders,20,21,-3.5,44
AliNFL,Eagles,23,Rams,18,LARPHI,4765712,LAR,Rams,Los Angeles Rams,PHI,Eagles,Philadelphia Eagles,18,23,-3,44.5
AliNFL,Falcons,27,Panthers,20,ATLCAR,4765713,ATL,Falcons,Atlanta Falcons,CAR,Panthers,Carolina Panthers,27,20,5.5,44
AliNFL,Vikings,20,Bengals,19,CINMIN,4765714,CIN,Bengals,Cincinnati Bengals,MIN,Vikings,Minnesota Vikings,19,20,-3,42
AliNFL,Texans,21,Jaguars,19,HOUJAC,4765715,HOU,Texans,Houston Texans,JAC,Jaguars,Jacksonville Jaguars,21,19,-1.5,44
AliNFL,Packers,26,Browns,17,GBCLE,4765716,GB,Packers,Green Bay Packers,CLE,Browns,Cleveland Browns,26,17,7,41.5
AliNFL,Chargers,23,Broncos,20,DENLAC,4765717,DEN,Broncos,Denver Broncos,LAC,L.A. Chargers,Los Angeles Chargers,20,20,-3,46
AliNFL,Seahawks,27,Saints,18,NOSEA,4765718,NO,Saints,New Orleans Saints,SEA,Seahawks,Seattle Seahawks,18,27,-7,42
AliNFL,49ers,24,Cardinals,20,ARISF,4765719,ARI,Cardinals,Arizona Cardinals,SF,49ers,San Francisco 49ers,20,24,-3,44.5
AliNFL,Cowboys,27,Bears,24,DALCHI,4765720,DAL,Cowboys,Dallas Cowboys,CHI,Bears,Chicago Bears,27,24,1,50.5
AliNFL,Chiefs,24,Giants,17,KCNYG,4765721,KC,Chiefs,Kansas City Chiefs,NYG,N.Y. Giants,New York Giants,24,17,6,45
AliNFL,Ravens,31,Lions,24,DETBAL,4765722,DET,Lions,Detroit Lions,BAL,Ravens,Baltimore Ravens,24,31,-4.5,53
BillBender,Bills,34,Dolphins,15,MIABUF,4765707,MIA,Dolphins,Miami Dolphins,BUF,Bills,Buffalo Bills,15,34,-11.5,50.5
BillBender,Colts,21,Titans,16,INDTEN,4765708,IND,Colts,Indianapolis Colts,TEN,Titans,Tennessee Titans,21,16,4,43.5
BillBender,Steelers,27,Patriots,20,PITNE,4765709,PIT,Steelers,Pittsburgh Steelers,NE,Patriots,New England Patriots,27,20,1.5,44.5
BillBender,Buccaneers,33,Jets,20,NYJTB,4765710,NYJ,Jets,New York Jets,TB,Buccaneers,Tampa Bay Buccaneers,20,33,-6.5,43.5
BillBender,Commanders,28,Raiders,21,LVWAS,4765711,LV,Raiders,Las Vegas Raiders,WAS,Commanders,Washington Commanders,21,28,-3.5,44
BillBender,Eagles,28,Rams,21,LARPHI,4765712,LAR,Rams,Los Angeles Rams,PHI,Eagles,Philadelphia Eagles,21,28,-3,44.5
BillBender,Falcons,28,Panthers,17,ATLCAR,4765713,ATL,Falcons,Atlanta Falcons,CAR,Panthers,Carolina Panthers,28,17,5.5,44
BillBender,Bengals,24,Vikings,21,CINMIN,4765714,CIN,Bengals,Cincinnati Bengals,MIN,Vikings,Minnesota Vikings,24,21,-3,42
BillBender,Texans,22,Jaguars,19,HOUJAC,4765715,HOU,Texans,Houston Texans,JAC,Jaguars,Jacksonville Jaguars,22,19,-1.5,44
BillBender,Packers,25,Browns,18,GBCLE,4765716,GB,Packers,Green Bay Packers,CLE,Browns,Cleveland Browns,25,18,7,41.5
BillBender,Chargers,21,Broncos,18,DENLAC,4765717,DEN,Broncos,Denver Broncos,LAC,L.A. Chargers,Los Angeles Chargers,18,18,-3,46
BillBender,Seahawks,27,Saints,17,NOSEA,4765718,NO,Saints,New Orleans Saints,SEA,Seahawks,Seattle Seahawks,17,27,-7,42
BillBender,49ers,24,Cardinals,20,ARISF,4765719,ARI,Cardinals,Arizona Cardinals,SF,49ers,San Francisco 49ers,20,24,-3,44.5
BillBender,Cowboys,32,Bears,29,DALCHI,4765720,DAL,Cowboys,Dallas Cowboys,CHI,Bears,Chicago Bears,32,29,1,50.5
BillBender,Chiefs,31,Giants,24,KCNYG,4765721,KC,Chiefs,Kansas City Chiefs,NYG,N.Y. Giants,New York Giants,31,24,6,45
BillBender,Ravens,34,Lions,31,DETBAL,4765722,DET,Lions,Detroit Lions,BAL,Ravens,Baltimore Ravens,31,34,-4.5,53
BrookeNFL,Bills,41,Dolphins,26,MIABUF,4765707,MIA,Dolphins,Miami Dolphins,BUF,Bills,Buffalo Bills,26,41,-11.5,50.5
BrookeNFL,Colts,20,Titans,18,INDTEN,4765708,IND,Colts,Indianapolis Colts,TEN,Titans,Tennessee Titans,20,18,4,43.5
BrookeNFL,Patriots,26,Steelers,24,PITNE,4765709,PIT,Steelers,Pittsburgh Steelers,NE,Patriots,New England Patriots,24,26,1.5,44.5
BrookeNFL,Buccaneers,25,Jets,19,NYJTB,4765710,NYJ,Jets,New York Jets,TB,Buccaneers,Tampa Bay Buccaneers,19,25,-6.5,43.5
BrookeNFL,Commanders,23,Raiders,21,LVWAS,4765711,LV,Raiders,Las Vegas Raiders,WAS,Commanders,Washington Commanders,21,23,-3.5,44
BrookeNFL,Eagles,27,Rams,24,LARPHI,4765712,LAR,Rams,Los Angeles Rams,PHI,Eagles,Philadelphia Eagles,24,27,-3,44.5
BrookeNFL,Falcons,26,Panthers,21,ATLCAR,4765713,ATL,Falcons,Atlanta Falcons,CAR,Panthers,Carolina Panthers,26,21,5.5,44
BrookeNFL,Vikings,23,Bengals,22,CINMIN,4765714,CIN,Bengals,Cincinnati Bengals,MIN,Vikings,Minnesota Vikings,22,23,-3,42
BrookeNFL,Jaguars,24,Texans,21,HOUJAC,4765715,HOU,Texans,Houston Texans,JAC,Jaguars,Jacksonville Jaguars,21,24,-1.5,44
BrookeNFL,Packers,25,Browns,18,GBCLE,4765716,GB,Packers,Green Bay Packers,CLE,Browns,Cleveland Browns,25,18,7,41.5
BrookeNFL,Chargers,26,Broncos,22,DENLAC,4765717,DEN,Broncos,Denver Broncos,LAC,L.A. Chargers,Los Angeles Chargers,22,22,-3,46
