SHORT NAME,GAMEID,AWAY,HOME,GameID,Spread,Total
49ers,JACSF,JAC,SF,4765731,-3,47
Bears,CHILV,CHI,LV,4765733,-1,48
Bengals,CINDEN,CIN,DEN,4765737,-7.5,44.5
Bills,NOBUF,NO,BUF,4765724,-15,48
Broncos,CINDEN,CIN,DEN,4765737,-7.5,44.5
Browns,CLEDET,CLE,DET,4765726,-10,44
Buccaneers,PHITB,PHI,TB,4765728,3.5,44
Bucs,PHITB,PHI,TB,4765728,3.5,44
Cardinals,SEAARI,SEA,ARI,4765723,1.5,44
Chargers,LACNYG,LAC,NYG,4765730,6,43.5
Chiefs,BALKC,BAL,KC,4765734,2.5,48.5
Colts,INDLAR,IND,LAR,4765732,-3.5,49
Commanders,WASATL,WAS,ATL,4765727,-1,45.5
Cowboys,GBDAL,GB,DAL,4765735,6.5,48
Dolphins,NYJMIA,NYJ,MIA,4765736,-2.5,44.5
Eagles,PHITB,PHI,TB,4765728,3.5,44
Falcons,WASATL,WAS,ATL,4765727,-1,45.5
Giants,LACNYG,LAC,NYG,4765730,6,43.5
Jaguars,JACSF,JAC,SF,4765731,-3,47
Jets,NYJMIA,NYJ,MIA,4765736,-2.5,44.5
Lions,CLEDET,CLE,DET,4765726,-10,44
Packers,GBDAL,GB,DAL,4765735,6.5,48
Panthers,CARNE,CAR,NE,4765729,-5,43
Patriots,CARNE,CAR,NE,4765729,-5,43
Pats,CARNE,CAR,NE,4765729,-5,43
Raiders,CHILV,CHI,LV,4765733,-1,48
Rams,INDLAR,IND,LAR,4765732,-3.5,49
Ravens,BALKC,BAL,KC,4765734,2.5,48.5
Saints,NOBUF,NO,BUF,4765724,-15,48
Seahawks,SEAARI,SEA,ARI,4765723,1.5,44
Steelers,MINPIT,MIN,PIT,4765634,2.5,41
Texans,TENHOU,TEN,HOU,4765725,-7,38.5
Titans,TENHOU,TEN,HOU,4765725,-7,38.5
Vikings,MINPIT,MIN,PIT,4765634,2.5,41
