SHORT NAME,GameCode,AWAY,HOME,GameID,Spread,Total
49ers,SFLAR,SF,LAR,4765738,-8.5,43.5
Bengals,DETCIN,DET,CIN,4765748,10,49.5
Bills,NEBUF,NE,BUF,4765749,-8,48.5
Broncos,DENPHI,DEN,PHI,4765740,-3.5,43.5
Browns,MINCLE,MIN,CLE,4765635,3.5,36
Buccaneers,TBSEA,TB,SEA,4765745,-3.5,45
Bucs,TBSEA,TB,SEA,4765745,-3.5,45
Cardinals,TENARI,TEN,ARI,4765746,-7,42
Chargers,WASLAC,WAS,LAC,4765747,-3,48.5
Chiefs,KCJAC,KC,JAC,4765750,3.5,46
Colts,LVIND,LV,IND,4765743,-7,48.5
Commanders,WASLAC,WAS,LAC,4765747,-3,48.5
Cowboys,DALNYJ,DAL,NYJ,4765739,2.5,48
Dolphins,MIACAR,MIA,CAR,4765744,1,44.5
Eagles,DENPHI,DEN,PHI,4765740,-3.5,43.5
Giants,NYGNO,NYG,NO,4765742,-2.5,41.5
Jaguars,KCJAC,KC,JAC,4765750,3.5,46
Jets,DALNYJ,DAL,NYJ,4765739,2.5,48
Lions,DETCIN,DET,CIN,4765748,10,49.5
Panthers,MIACAR,MIA,CAR,4765744,1,44.5
Patriots,NEBUF,NE,BUF,4765749,-8,48.5
Pats,NEBUF,NE,BUF,4765749,-8,48.5
Raiders,LVIND,LV,IND,4765743,-7,48.5
Rams,SFLAR,SF,LAR,4765738,-8.5,43.5
Ravens,HOUBAL,HOU,BAL,4765741,2,40
Saints,NYGNO,NYG,NO,4765742,-2.5,41.5
Seahawks,TBSEA,TB,SEA,4765745,-3.5,45
Texans,HOUBAL,HOU,BAL,4765741,2,40
Titans,TENARI,TEN,ARI,4765746,-7,42
Vikings,MINCLE,MIN,CLE,4765635,3.5,36
