SHORT NAME,GAMEID,AWAY,HOME,GameIdInt,Spread,Total
49ers,SFTB,SF,TB,4765755,-3,47
Bears,CHIWAS,CHI,WAS,4765764,-4.5,49.5
Bengals,CINGB,CIN,GB,4765761,-14,44.5
Bills,BUFATL,BUF,ATL,4765763,4,49.5
Broncos,DENNYJ,DEN,NYJ,4765636,7,43
Browns,CLEPIT,CLE,PIT,4765754,-6,38.5
Buccaneers,SFTB,SF,TB,4765755,-3,47
Bucs,SFTB,SF,TB,4765755,-3,47
Cardinals,ARIIND,ARI,IND,4765752,-7,46.5
Chargers,LACMIA,LAC,MIA,4765757,4,43
Chiefs,DETKC,DET,KC,4765762,-2.5,53
Colts,ARIIND,ARI,IND,4765752,-7,46.5
Commanders,CHIWAS,CHI,WAS,4765764,-4.5,49.5
Cowboys,DALCAR,DAL,CAR,4765758,3,50
Dolphins,LACMIA,LAC,MIA,4765757,4,43
Eagles,PHINYG,PHI,NYG,4765751,7,40.5
Falcons,BUFATL,BUF,ATL,4765763,4,49.5
Giants,PHINYG,PHI,NYG,4765751,7,40.5
Jaguars,SEAJAC,SEA,JAC,4765756,-1,47.5
Jets,DENNYJ,DEN,NYJ,4765636,7,43
Lions,DETKC,DET,KC,4765762,-2.5,53
Packers,CINGB,CIN,GB,4765761,-14,44.5
Panthers,DALCAR,DAL,CAR,4765758,3,50
Patriots,NENO,NE,NO,4765760,3.5,45.5
Pats,NENO,NE,NO,4765760,3.5,45.5
Raiders,TENLV,TEN,LV,4765759,-4.5,41
Rams,LARBAL,LAR,BAL,4765753,8,44.5
Ravens,LARBAL,LAR,BAL,4765753,8,44.5
Saints,NENO,NE,NO,4765760,3.5,45.5
Seahawks,SEAJAC,SEA,JAC,4765756,-1,47.5
Steelers,CLEPIT,CLE,PIT,4765754,-6,38.5
Titans,TENLV,TEN,LV,4765759,-4.5,41
