Source,Winner,Winner Score,Loser,Loser Score
TylerSullivan,Seahawks,27,Jaguars,23
TylerSullivan,Lions,30,Chiefs,23
TylerSullivan,Bills,33,Falcons,24
TylerSullivan,Broncos,27,Jets,17
TylerSullivan,Steelers,24,Browns,16
TylerSullivan,Eagles,24,Giants,17
TylerSullivan,Colts,30,Cardinals,21
TylerSullivan,Chargers,27,Dolphins,20
TylerSullivan,Patriots,24,Saints,23
TylerSullivan,Cowboys,33,Panthers,23
TylerSullivan,Rams,30,Ravens,20
TylerSullivan,Raiders,24,Titans,20
TylerSullivan,Packers,30,Bengals,20
TylerSullivan,Buccaneers,23,49ers,21
TylerSullivan,Commanders,28,Bears,23
PetePrisco,Eagles,29,Giants,17
PetePrisco,Broncos,26,Jets,14
PetePrisco,Colts,27,Cardinals,24
PetePrisco,Steelers,21,Browns,18
PetePrisco,Cowboys,30,Panthers,21
PetePrisco,Dolphins,27,Chargers,26
PetePrisco,Rams,31,Ravens,17
PetePrisco,Patriots,22,Saints,21
PetePrisco,Jaguars,33,Seahawks,30
PetePrisco,Raiders,27,Titans,17
PetePrisco,Packers,31,Bengals,17
PetePrisco,Buccaneers,30,49ers,20
PetePrisco,Chiefs,34,Lions,30
PetePrisco,Bills,33,Falcons,27
PetePrisco,Commanders,31,Bears,27
BillBender,Eagles,28,Giants,13
BillBender,Broncos,24,Jets,17
BillBender,Colts,28,Cardinals,23
BillBender,Chargers,23,Dolphins,15
BillBender,Patriots,25,Saints,18
BillBender,Steelers,26,Browns,16
BillBender,Cowboys,31,Panthers,26
BillBender,Seahawks,24,Jaguars,21
BillBender,Rams,31,Ravens,28
BillBender,Buccaneers,27,49ers,23
BillBender,Raiders,27,Titans,19
BillBender,Packers,28,Bengals,21
BillBender,Lions,30,Chiefs,24
BillBender,Bills,31,Falcons,22
BillBender,Commanders,32,Bears,25
DataSkrive,Eagles,28,Giants,16
DataSkrive,Broncos,34,Jets,13
DataSkrive,Chargers,26,Dolphins,19
DataSkrive,Colts,31,Cardinals,14
DataSkrive,Patriots,25,Saints,20
DataSkrive,Jaguars,25,Seahawks,22
DataSkrive,Panthers,29,Cowboys,23
DataSkrive,Rams,34,Ravens,20
DataSkrive,Steelers,30,Browns,14
DataSkrive,Raiders,23,Titans,22
DataSkrive,Packers,31,Bengals,17
DataSkrive,Buccaneers,24,49ers,23
DataSkrive,Lions,27,Chiefs,25
DataSkrive,Falcons,25,Bills,22
DataSkrive,Commanders,32,Bears,19
Jeremy Cluff,Eagles,30,Giants,17
Jeremy Cluff,Broncos,27,Jets,17
Jeremy Cluff,Rams,31,Ravens,20
Jeremy Cluff,Cowboys,28,Panthers,20
Jeremy Cluff,Colts,28,Cardinals,17
Jeremy Cluff,Seahawks,24,Jaguars,23
Jeremy Cluff,Chargers,27,Dolphins,24
Jeremy Cluff,Steelers,24,Browns,14
Jeremy Cluff,Patriots,24,Saints,20
Jeremy Cluff,Raiders,23,Titans,21
Jeremy Cluff,Buccaneers,30,49ers,27
Jeremy Cluff,Packers,31,Bengals,13
Jeremy Cluff,Lions,34,Chiefs,24
Jeremy Cluff,Bills,35,Falcons,24
Jeremy Cluff,Commanders,31,Bears,30
Copilot,Philadelphia Eagles,27,New York Giants,16
Copilot,Denver Broncos,27,New York Jets,14
Copilot,Indianapolis Colts,28,Arizona Cardinals,17
Copilot,Los Angeles Chargers,24,Miami Dolphins,21
Copilot,New England Patriots,24,New Orleans Saints,20
Copilot,Pittsburgh Steelers,24,Cleveland Browns,14
Copilot,Dallas Cowboys,31,Carolina Panthers,21
Copilot,Seattle Seahawks,24,Jacksonville Jaguars,20
Copilot,Los Angeles Rams,31,Baltimore Ravens,17
Copilot,Las Vegas Raiders,23,Tennessee Titans,20
Copilot,Green Bay Packers,27,Cincinnati Bengals,20
Copilot,Tampa Bay Buccaneers,27,San Francisco 49ers,23
Copilot,Detroit Lions,31,Kansas City Chiefs,27
Copilot,Buffalo Bills,27,Atlanta Falcons,21
Copilot,Washington Commanders,27,Chicago Bears,22
Sportsnaut,Eagles,27,Giants,17
Sportsnaut,Broncos,27,Jets,14
Sportsnaut,Colts,24,Cardinals,20
Sportsnaut,Chargers,20,Dolphins,13
Sportsnaut,Patriots,27,Saints,17
Sportsnaut,Steelers,17,Browns,14
Sportsnaut,Cowboys,34,Panthers,27
Sportsnaut,Jaguars,20,Seahawks,17
Sportsnaut,Rams,35,Ravens,14
Sportsnaut,Raiders,21,Titans,20
Sportsnaut,Packers,31,Bengals,20
Sportsnaut,Buccaneers,26,49ers,21
Sportsnaut,Lions,28,Chiefs,20
Sportsnaut,Falcons,20,Bills,17
Sportsnaut,Commanders,28,Bears,24
