Source,Winner,Winner Score,Loser,Loser Score,GameID,GameIDInt,Away Code,Away Short Name,Away Full Name,Home Code,Home Short Name,Home Full Name,AwayScore,HomeScore,Spread,Total
TylerSullivan,Falcons,24,49ers,21,ATLSF,4765776,ATL,Falcons,Atlanta Falcons,SF,49ers,San Francisco 49ers,24,21,-2.5,47.5
PetePrisco,49ers,23,Falcons,19,ATLSF,4765776,ATL,Falcons,Atlanta Falcons,SF,49ers,San Francisco 49ers,19,23,-2.5,47.5
BillBender,49ers,24,Falcons,19,ATLSF,4765776,ATL,Falcons,Atlanta Falcons,SF,49ers,San Francisco 49ers,19,24,-2.5,47.5
DataSkrive,49ers,24,Falcons,17,ATLSF,4765776,ATL,Falcons,Atlanta Falcons,SF,49ers,San Francisco 49ers,17,24,-2.5,47.5
Jeremy Cluff,Falcons,24,49ers,23,ATLSF,4765776,ATL,Falcons,Atlanta Falcons,SF,49ers,San Francisco 49ers,24,23,-2.5,47.5
VinnieIyer,49ers,27,Falcons,20,ATLSF,4765776,ATL,Falcons,Atlanta Falcons,SF,49ers,San Francisco 49ers,20,27,-2.5,47.5
MaldonadoESPN,49ers,23,Falcons,20,ATLSF,4765776,ATL,Falcons,Atlanta Falcons,SF,49ers,San Francisco 49ers,20,23,-2.5,47.5
MoodyESPN,Falcons,23,49ers,21,ATLSF,4765776,ATL,Falcons,Atlanta Falcons,SF,49ers,San Francisco 49ers,23,21,-2.5,47.5
WalderESPN,49ers,26,Falcons,23,ATLSF,4765776,ATL,Falcons,Atlanta Falcons,SF,49ers,San Francisco 49ers,23,26,-2.5,47.5
Dimers,49ERS,24,FALCONS,22,ATLSF,4765776,ATL,Falcons,Atlanta Falcons,SF,49ers,San Francisco 49ers,22,24,-2.5,47.5
JarrettBell,Falcons,24,49ers,20,ATLSF,4765776,ATL,Falcons,Atlanta Falcons,SF,49ers,San Francisco 49ers,24,20,-2.5,47.5
NickBrinkerhoff,Falcons,27,49ers,23,ATLSF,4765776,ATL,Falcons,Atlanta Falcons,SF,49ers,San Francisco 49ers,27,23,-2.5,47.5
ChrisBumbaca,Falcons,22,49ers,19,ATLSF,4765776,ATL,Falcons,Atlanta Falcons,SF,49ers,San Francisco 49ers,22,19,-2.5,47.5
NateDavis,Falcons,27,49ers,24,ATLSF,4765776,ATL,Falcons,Atlanta Falcons,SF,49ers,San Francisco 49ers,27,24,-2.5,47.5
TylerDragon,Falcons,24,49ers,21,ATLSF,4765776,ATL,Falcons,Atlanta Falcons,SF,49ers,San Francisco 49ers,24,21,-2.5,47.5
MikeMiddlehurst-Schwartz,49ers,27,Falcons,21,ATLSF,4765776,ATL,Falcons,Atlanta Falcons,SF,49ers,San Francisco 49ers,21,27,-2.5,47.5
AliNFL,Falcons,23,49ers,21,ATLSF,4765776,ATL,Falcons,Atlanta Falcons,SF,49ers,San Francisco 49ers,23,21,-2.5,47.5
