SHORT NAME,GAMEID,AWAY,HOME,,,
Vikings,MINLAC,MIN,LAC,4765779,-3,44.5
Chargers,MINLAC,MIN,LAC,4765779,-3,44.5
Jets,NYJCIN,NYJ,CIN,4765780,-6.5,44.5
Bengals,NYJCIN,NYJ,CIN,4765780,-6.5,44.5
Bills,BUFCAR,BUF,CAR,4765781,7,46
Panthers,BUFCAR,BUF,CAR,4765781,7,46
49ers,SFHOU,SF,HOU,4765782,-2.5,41.5
Texans,SFHOU,SF,HOU,4765782,-2.5,41.5
Giants,NYGPHI,NYG,PHI,4765783,-7,44
Eagles,NYGPHI,NYG,PHI,4765783,-7,44
Browns,CLENE,CLE,NE,4765784,-7,40.5
Patriots,CLENE,CLE,NE,4765784,-7,40.5
Pats,CLENE,CLE,NE,4765784,-7,40.5
Bears,CHIBAL,CHI,BAL,4765785,-6.5,49.5
Ravens,CHIBAL,CHI,BAL,4765785,-6.5,49.5
Dolphins,MIAATL,MIA,ATL,4765786,-7.5,44.5
Falcons,MIAATL,MIA,ATL,4765786,-7.5,44.5
Buccaneers,TBNO,TB,NO,4765787,4,47
Bucs,TBNO,TB,NO,4765787,4,47
Saints,TBNO,TB,NO,4765787,4,47
Cowboys,DALDEN,DAL,DEN,4765788,-3.5,51
Broncos,DALDEN,DAL,DEN,4765788,-3.5,51
Titans,TENIND,TEN,IND,4765789,-14.5,47.5
Colts,TENIND,TEN,IND,4765789,-14.5,47.5
Packers,GBPIT,GB,PIT,4765790,3,45.5
Steelers,GBPIT,GB,PIT,4765790,3,45.5
Commanders,WASKC,WAS,KC,4765791,-13,48
Chiefs,WASKC,WAS,KC,4765791,-13,48
GameIds,"[4765779, 4765780, 4765781, 4765782, 4765783, 4765784, 4765785, 4765786, 4765787, 4765788, 4765789, 4765790, 4765791]",,,,,
