author,winning team,winning score,losing team,losing score
Jeremy Bergman,Carolina Panthers,24,Chicago Bears,23
Brooke Cersosimo,Carolina Panthers,23,Chicago Bears,21
Gennaro Filice,Chicago Bears,27,Carolina Panthers,26
Bobby Kownack,Chicago Bears,24,Carolina Panthers,20
Dan Parr,Chicago Bears,28,Carolina Panthers,24
Jeremy Bergman,Cincinnati Bengals,38,Tampa Bay Buccaneers,34
Brooke Cersosimo,Cincinnati Bengals,25,Tampa Bay Buccaneers,22
Gennaro Filice,Tampa Bay Buccaneers,24,Cincinnati Bengals,22
Bobby Kownack,Cincinnati Bengals,35,Tampa Bay Buccaneers,31
Dan Parr,Cincinnati Bengals,27,Tampa Bay Buccaneers,24
Jeremy Bergman,Detroit Lions,30,New Orleans Saints,16
Brooke Cersosimo,Detroit Lions,32,New Orleans Saints,22
Gennaro Filice,Detroit Lions,42,New Orleans Saints,24
Bobby Kownack,Detroit Lions,31,New Orleans Saints,19
Dan Parr,Detroit Lions,34,New Orleans Saints,23
Jeremy Bergman,Houston Texans,24,Buffalo Bills,19
Brooke Cersosimo,Houston Texans,24,Buffalo Bills,21
Gennaro Filice,Houston Texans,21,Buffalo Bills,17
Bobby Kownack,Buffalo Bills,23,Houston Texans,20
Dan Parr,Houston Texans,23,Buffalo Bills,21
Jeremy Bergman,Baltimore Ravens,16,Indianapolis Colts,12
Brooke Cersosimo,Baltimore Ravens,24,Indianapolis Colts,20
Gennaro Filice,Indianapolis Colts,21,Baltimore Ravens,20
Bobby Kownack,Baltimore Ravens,27,Indianapolis Colts,21
Dan Parr,Baltimore Ravens,28,Indianapolis Colts,24
Jeremy Bergman,Jacksonville Jaguars,30,Cleveland Browns,13
Brooke Cersosimo,Jacksonville Jaguars,27,Cleveland Browns,17
Gennaro Filice,Jacksonville Jaguars,28,Cleveland Browns,13
Bobby Kownack,Jacksonville Jaguars,21,Cleveland Browns,10
Dan Parr,Jacksonville Jaguars,28,Cleveland Browns,10
Jeremy Bergman,Pittsburgh Steelers,24,Atlanta Falcons,13
Brooke Cersosimo,Pittsburgh Steelers,20,Atlanta Falcons,17
Gennaro Filice,Pittsburgh Steelers,23,Atlanta Falcons,14
Bobby Kownack,Pittsburgh Steelers,20,Atlanta Falcons,17
Dan Parr,Pittsburgh Steelers,23,Atlanta Falcons,17
Jeremy Bergman,New York Jets,23,Tennessee Titans,17
Brooke Cersosimo,New York Jets,19,Tennessee Titans,15
Gennaro Filice,New York Jets,22,Tennessee Titans,19
Bobby Kownack,New York Jets,21,Tennessee Titans,17
Dan Parr,New York Jets,21,Tennessee Titans,20
Jeremy Bergman,Los Angeles Chargers,34,Arizona Cardinals,20
Brooke Cersosimo,Los Angeles Chargers,27,Arizona Cardinals,16
Gennaro Filice,Los Angeles Chargers,28,Arizona Cardinals,21
Bobby Kownack,Los Angeles Chargers,30,Arizona Cardinals,17
Dan Parr,Los Angeles Chargers,28,Arizona Cardinals,17
Jeremy Bergman,Las Vegas Raiders,19,Miami Dolphins,16
Brooke Cersosimo,Las Vegas Raiders,22,Miami Dolphins,13
Gennaro Filice,Las Vegas Raiders,26,Miami Dolphins,19
Bobby Kownack,Miami Dolphins,16,Las Vegas Raiders,14
Dan Parr,Las Vegas Raiders,26,Miami Dolphins,16
Jeremy Bergman,Minnesota Vikings,21,Green Bay Packers,20
Brooke Cersosimo,Minnesota Vikings,28,Green Bay Packers,24
Gennaro Filice,Green Bay Packers,27,Minnesota Vikings,20
Bobby Kownack,Minnesota Vikings,27,Green Bay Packers,26
Dan Parr,Minnesota Vikings,23,Green Bay Packers,21
Jeremy Bergman,Philadelphia Eagles,17,Washington Commanders,16
Brooke Cersosimo,Philadelphia Eagles,23,Washington Commanders,20
Gennaro Filice,Philadelphia Eagles,30,Washington Commanders,13
Bobby Kownack,Philadelphia Eagles,28,Washington Commanders,20
Dan Parr,Philadelphia Eagles,30,Washington Commanders,20
Jeremy Bergman,Dallas Cowboys,21,New York Giants,17
Brooke Cersosimo,New York Giants,24,Dallas Cowboys,23
Gennaro Filice,Dallas Cowboys,33,New York Giants,23
Bobby Kownack,Dallas Cowboys,30,New York Giants,23
Dan Parr,Dallas Cowboys,31,New York Giants,28
Jeremy Bergman,Denver Broncos,23,Kansas City Chiefs,16
Brooke Cersosimo,Kansas City Chiefs,23,Denver Broncos,20
Gennaro Filice,Kansas City Chiefs,19,Denver Broncos,17
Bobby Kownack,Denver Broncos,22,Kansas City Chiefs,21
Dan Parr,Denver Broncos,23,Kansas City Chiefs,21
Jeremy Bergman,Seattle Seahawks,31,New England Patriots,24
Brooke Cersosimo,Seattle Seahawks,24,New England Patriots,20
Gennaro Filice,Seattle Seahawks,26,New England Patriots,13
Bobby Kownack,Seattle Seahawks,27,New England Patriots,21
Dan Parr,Seattle Seahawks,24,New England Patriots,21
Jeremy Bergman,Los Angeles Rams,20,San Francisco 49ers,16
Brooke Cersosimo,San Francisco 49ers,26,Los Angeles Rams,24
Gennaro Filice,Los Angeles Rams,27,San Francisco 49ers,20
Bobby Kownack,San Francisco 49ers,26,Los Angeles Rams,23
Dan Parr,Los Angeles Rams,27,San Francisco 49ers,21
